Wall time,Step,Value
1555144636.601814,50,17.96875
1555144637.0447154,100,41.25
1555144637.7284524,200,75.4375
1555144638.0715184,250,80.65625
1555144638.4097397,300,84.125
1555144638.7606547,350,86.28125
1555144639.110969,400,87.0625
1555144639.4627764,450,87.96875
1555144639.8896348,500,88.125
1555144640.3015337,550,88.34375
1555144640.6865041,600,88.875
1555144641.0876231,650,88.96875
1555144641.4404874,700,89.21875
1555144641.8633564,750,90.5625
1555144642.2762532,800,89.21875
1555144642.671232,850,90.4375
1555144643.0950623,900,89.90625
1555144644.6339922,988,91.46875
1555144645.0429473,1038,90.78125
1555144645.487665,1088,91.1875
1555144645.8636594,1138,91.375
1555144646.2217019,1188,92.15625
1555144646.572762,1238,91.5
1555144646.947807,1288,92.34375
1555144647.3307369,1338,92.3125
1555144647.6728506,1388,91.4375
1555144648.0408354,1438,91.84375
1555144649.122944,1538,91.78125
1555144649.5577812,1588,92.4375
1555144649.9577537,1638,92.0
1555144650.3386912,1688,92.5625
1555144650.7705386,1738,93.71875
1555144651.241278,1788,93.75
1555144651.6951253,1838,93.03125
1555144652.6116571,1926,93.8125
1555144653.1555934,1976,93.0
1555144653.6009648,2026,93.40625
1555144654.0774627,2076,94.40625
1555144654.5859277,2126,94.09375
1555144655.4532042,2226,94.125
1555144655.8426578,2276,94.0
1555144656.1974032,2326,94.125
1555144656.5604665,2376,94.375
1555144656.9179463,2426,94.71875
1555144657.3774235,2476,94.0625
1555144657.7456553,2526,95.125
1555144658.106873,2576,94.875
1555144658.5418572,2626,94.875
1555144658.902696,2676,94.9375
1555144659.4906607,2726,94.65625
1555144659.8448513,2776,94.71875
1555144661.3903794,2864,94.78125
1555144661.84351,2914,95.9375
1555144662.3078556,2964,94.84375
1555144662.9230225,3014,95.25
1555144663.9191644,3064,95.34375
1555144664.3420331,3114,95.4375
1555144664.839716,3164,95.5
1555144665.3044622,3214,96.09375
1555144665.7083802,3264,95.34375
1555144666.099334,3314,95.4375
1555144666.48231,3364,95.46875
1555144666.870427,3414,95.0625
1555144667.2183414,3464,95.6875
1555144667.5774276,3514,95.375
1555144667.9164772,3564,95.59375
1555144668.3603554,3614,95.40625
1555144669.1860805,3714,95.65625
1555144670.628223,3802,96.40625
1555144671.365252,3852,96.03125
1555144672.2827983,3902,96.125
1555144673.114575,3952,96.375
1555144673.813704,4002,96.21875
1555144674.5287912,4052,96.8125
1555144675.1092403,4102,95.6875
1555144675.7008812,4152,96.15625
1555144676.310253,4202,96.3125
1555144676.9855719,4252,97.125
1555144677.6039178,4302,96.375
1555144678.2544563,4352,95.96875
1555144678.9832318,4402,96.21875
1555144679.60457,4452,96.0
1555144680.2967167,4502,96.09375
1555144680.9130712,4552,96.0
1555144681.540391,4602,96.34375
1555144682.1866639,4652,96.65625
1555144685.154726,4740,96.84375
1555144685.7481399,4790,97.375
1555144686.3538191,4840,96.34375
1555144686.9674501,4890,96.875
1555144687.5808077,4940,96.40625
1555144688.21611,4990,96.8125
1555144688.8334603,5040,96.40625
1555144689.4518085,5090,96.8125
1555144690.0652642,5140,96.75
1555144690.672542,5190,96.65625
1555144691.273984,5240,96.5
1555144691.8872921,5290,96.40625
1555144692.5116656,5340,97.4375
1555144693.2616558,5390,97.15625
1555144693.872982,5440,96.875
1555144694.4723804,5490,96.59375
1555144695.0997036,5540,96.90625
1555144695.689124,5590,96.6875
1555144696.9208333,5678,97.5625
1555144697.518236,5728,97.375
1555144698.1196873,5778,97.0
1555144698.7928257,5828,97.0625
1555144699.394221,5878,96.8125
1555144700.0584426,5928,97.34375
1555144700.6428788,5978,97.1875
1555144701.3071034,6028,97.21875
1555144701.9643435,6078,97.03125
1555144702.577703,6128,97.21875
1555144703.2459166,6178,97.375
1555144703.848475,6228,97.0
1555144704.4477038,6278,97.03125
1555144705.044108,6328,97.34375
1555144705.6385193,6378,97.25
1555144706.2401662,6428,97.65625
1555144706.8612516,6478,97.03125
1555144707.4716175,6528,97.34375
1555144710.047473,6616,97.90625
1555144710.6740503,6666,97.71875
1555144711.8855574,6766,97.4375
1555144712.4789705,6816,98.0
1555144713.0823555,6866,97.34375
1555144714.3100731,6966,97.21875
1555144714.9373941,7016,97.21875
1555144715.5487592,7066,97.625
1555144716.154146,7116,97.625
1555144716.7665024,7166,97.84375
1555144717.357921,7216,97.28125
1555144717.978263,7266,97.375
1555144718.5766628,7316,97.25
1555144719.17207,7366,97.96875
1555144719.7967858,7416,97.875
1555144720.5143268,7466,97.40625
1555144721.5914474,7554,98.03125
1555144722.15095,7604,97.78125
1555144722.8780544,7654,97.71875
1555144723.540235,7704,97.59375
1555144724.1018414,7754,98.1875
1555144724.7253008,7804,98.375
1555144725.304517,7854,97.6875
1555144725.8843162,7904,97.6875
1555144727.0279086,8004,97.5625
1555144727.6821592,8054,97.65625
1555144728.4062228,8104,98.03125
1555144729.0834136,8154,97.84375
1555144729.7845354,8204,97.375
1555144730.7050734,8254,98.0625
1555144731.3373828,8304,97.84375
1555144731.9677866,8354,97.53125
1555144732.6758041,8404,98.0625
1555144735.1312666,8492,97.6875
1555144735.6897454,8542,97.875
1555144736.278171,8592,97.8125
1555144736.8745775,8642,98.15625
1555144737.4620073,8692,98.09375
1555144738.0454438,8742,98.09375
1555144738.612926,8792,97.875
1555144739.2024693,8842,97.875
1555144740.5452175,8942,98.34375
1555144741.1954799,8992,98.3125
1555144741.8058476,9042,97.96875
1555144742.3843036,9092,97.875
1555144742.9657469,9142,98.21875
1555144743.574189,9192,98.15625
1555144744.2742462,9242,97.84375
1555144744.8945878,9292,98.09375
1555144745.6076815,9342,98.0625
1555144746.634936,9430,97.875
1555144747.201419,9480,98.34375
1555144747.7698994,9530,97.9375
1555144748.3363853,9580,98.0
1555144748.906858,9630,98.25
1555144749.505265,9680,98.4375
1555144750.10266,9730,98.5625
1555144750.7070448,9780,98.71875
1555144751.3054447,9830,98.1875
1555144751.9178073,9880,98.6875
1555144752.5533037,9930,98.0625
1555144753.3359475,9980,98.0625
1555144754.5617185,10080,98.21875
1555144755.160974,10130,98.125
1555144759.5152671,10368,98.53125
1555144760.0716574,10418,98.5625
1555144760.6801994,10468,98.34375
1555144761.2633839,10518,98.28125
