Wall time,Step,Value
1555144644.2669294,1,91.05999755859375
1555144660.9528635,2,94.97000122070312
1555144684.5194268,3,96.3499984741211
1555144709.4361062,4,96.87999725341797
1555144734.5547814,5,97.22000122070312
1555144758.9094913,6,97.19999694824219
1555144783.6464756,7,97.4000015258789
1555144801.2638023,8,97.43000030517578
1555144825.563808,9,97.37999725341797
1555144850.6199462,10,97.55000305175781
1555144875.6118932,11,97.56999969482422
1555144900.5161984,12,97.62999725341797
1555144923.7061243,13,97.5
1555144947.747397,14,97.72000122070312
1555144972.5096397,15,97.70999908447266
1555144997.3206582,16,97.66999816894531
1555145021.5940557,17,97.63999938964844
1555145046.1742039,18,97.75
1555145071.0681713,19,97.72000122070312
1555145095.2376232,20,97.77999877929688
1555145119.8677108,21,97.69999694824219
1555145140.3421738,22,97.73999786376953
1555145158.4854026,23,97.68000030517578
1555145180.2043977,24,97.80000305175781
1555145205.2495708,25,97.7300033569336
1555145229.767002,26,97.69000244140625
1555145254.8181274,27,97.7699966430664
1555145275.7397401,28,97.70999908447266
1555145298.701987,29,97.7699966430664
1555145323.1941235,30,97.80000305175781
