Wall time,Step,Value
1555143064.3757477,1,39.7462043762207
1555143089.416067,2,17.4075927734375
1555143116.318123,3,14.714255332946777
1555143141.0240617,4,13.256964683532715
1555143166.0949228,5,11.735233306884766
1555143190.0415123,6,10.727344512939453
1555143214.434976,7,9.600388526916504
1555143239.9447126,8,8.882861137390137
1555143264.6471097,9,8.107160568237305
1555143289.374251,10,7.560309410095215
1555143310.22829,11,7.069792747497559
1555143333.6875818,12,6.661364555358887
1555143354.0044947,13,6.3043341636657715
1555143377.5293877,14,5.980325222015381
1555143401.0933719,15,5.7207512855529785
1555143424.6812952,16,5.593848705291748
1555143448.3041232,17,5.298315525054932
1555143471.4547849,18,5.103679656982422
1555143495.0275726,19,5.097714900970459
1555143517.255904,20,4.873308181762695
1555143538.3494582,21,4.798618316650391
1555143562.1350555,22,4.683091163635254
1555143582.6457677,23,4.530459880828857
1555143601.666704,24,4.406233310699463
1555143624.1374521,25,4.39309024810791
1555143646.0304272,26,4.290879726409912
1555143667.3795757,27,4.268305778503418
1555143691.7510974,28,4.234249114990234
1555143717.8478444,29,4.12056303024292
1555143739.9926581,30,4.153449058532715
