Wall time,Step,Value
1555938178.7610683,50,11.65625
1555938180.2181017,100,10.71875
1555938181.842758,150,10.90625
1555938183.6818347,200,11.3125
1555938185.350371,250,23.96875
1555938187.2975137,300,34.5625
1555938189.2022364,350,54.03125
1555938191.1041944,400,70.375
1555938192.631106,450,79.03125
1555938194.5439334,500,83.6875
1555938196.1391819,550,87.90625
1555938197.766591,600,88.78125
1555938199.0993643,650,91.46875
1555938200.3948317,700,91.375
1555938201.7282724,750,92.40625
1555938203.050136,800,93.0
1555938204.3873885,850,93.3125
1555938205.7682645,900,94.25
1555938211.7079687,988,94.53125
1555938213.2244358,1038,95.15625
1555938214.5776207,1088,95.28125
1555938216.004946,1138,95.40625
1555938217.3678427,1188,95.5625
1555938218.7137184,1238,96.03125
1555938220.0575423,1288,96.09375
1555938221.3915436,1338,95.75
1555938222.7347724,1388,95.9375
1555938224.0774062,1438,96.34375
1555938225.4415853,1488,96.375
1555938226.8002725,1538,96.21875
1555938228.1485875,1588,96.53125
1555938229.5184436,1638,96.625
1555938230.8695407,1688,96.8125
1555938232.231283,1738,96.46875
1555938233.5905564,1788,96.6875
1555938234.9276247,1838,97.15625
1555938237.291,1926,96.5625
1555938238.649248,1976,97.5625
1555938240.0004528,2026,97.125
1555938241.3612342,2076,97.125
1555938242.7305062,2126,97.09375
1555938244.0938735,2176,97.46875
1555938245.4839325,2226,97.84375
1555938246.9447103,2276,97.5
1555938248.3791392,2326,97.0625
1555938249.8485503,2376,97.875
1555938251.279073,2426,97.125
1555938252.6345537,2476,97.6875
1555938253.9991257,2526,97.4375
1555938255.3950016,2576,97.71875
1555938256.7823255,2626,97.53125
1555938258.1319726,2676,97.4375
1555938259.6189663,2726,97.21875
1555938261.1460826,2776,98.125
1555938265.8594422,2864,98.03125
1555938267.2312686,2914,97.0625
1555938268.5723202,2964,97.90625
1555938269.969848,3014,98.125
1555938271.3482492,3064,97.5
1555938272.7046945,3114,98.40625
1555938274.0591507,3164,98.21875
1555938275.4199905,3214,97.78125
1555938276.7650518,3264,97.71875
1555938278.1283305,3314,98.28125
1555938279.4695995,3364,98.65625
1555938280.8381343,3414,98.53125
1555938282.188602,3464,98.0
1555938283.5561337,3514,97.59375
1555938284.9130948,3564,97.59375
1555938286.2836893,3614,98.125
1555938287.6359255,3664,98.03125
1555938289.0108202,3714,98.1875
1555938291.4198413,3802,98.09375
1555938292.7752063,3852,98.40625
1555938294.125394,3902,98.4375
1555938295.4942544,3952,98.375
1555938296.8843362,4002,98.4375
1555938298.2285776,4052,98.53125
1555938299.582956,4102,98.25
1555938300.9285195,4152,98.5625
1555938302.2642207,4202,98.5
1555938303.6066153,4252,98.6875
1555938304.9311237,4302,98.3125
1555938306.2822835,4352,98.15625
1555938307.603265,4402,97.9375
1555938308.949363,4452,98.25
1555938310.2585309,4502,98.71875
1555938311.6251225,4552,98.03125
1555938313.1005108,4602,98.25
1555938314.5479877,4652,98.53125
1555938319.2604065,4740,98.5
1555938320.6239498,4790,98.84375
1555938321.990258,4840,98.53125
1555938323.3407423,4890,98.46875
1555938324.691319,4940,99.0
1555938326.11833,4990,98.53125
1555938327.5673783,5040,98.65625
1555938328.98043,5090,98.5
1555938330.4014099,5140,98.28125
1555938331.7991674,5190,98.5625
1555938333.1577141,5240,98.6875
1555938334.5139153,5290,98.84375
1555938335.88493,5340,98.6875
1555938337.2193632,5390,98.625
1555938338.5773292,5440,98.625
1555938340.061684,5490,98.875
1555938341.425921,5540,98.90625
1555938342.7692435,5590,98.65625
1555938345.1207645,5678,98.53125
1555938346.4860854,5728,98.875
1555938347.829866,5778,98.71875
1555938349.1937037,5828,99.15625
1555938350.546898,5878,98.65625
1555938351.916879,5928,98.625
1555938353.268489,5978,99.03125
1555938354.6100776,6028,98.9375
1555938355.9613063,6078,98.96875
1555938357.3052573,6128,98.9375
1555938358.6568658,6178,98.65625
1555938360.0053978,6228,98.84375
1555938361.373531,6278,98.90625
1555938362.7032783,6328,98.84375
1555938364.0638275,6378,99.03125
1555938365.410284,6428,98.71875
1555938366.744329,6478,98.59375
1555938368.0803053,6528,98.59375
1555938372.5835032,6616,99.03125
1555938373.9268057,6666,99.09375
1555938375.270689,6716,98.90625
1555938376.6264863,6766,99.0625
1555938378.0567982,6816,99.25
1555938379.5216804,6866,98.875
1555938380.9790757,6916,98.75
1555938382.4105055,6966,99.28125
1555938383.8964503,7016,98.875
1555938385.4651406,7066,98.96875
1555938386.8087606,7116,98.96875
1555938388.1693175,7166,98.875
1555938389.5236018,7216,98.9375
1555938390.8661535,7266,98.875
1555938392.2697685,7316,98.8125
1555938393.678728,7366,98.9375
1555938395.1389418,7416,99.03125
1555938396.5252934,7466,98.90625
1555938398.9010043,7554,99.28125
1555938400.2550795,7604,99.5
1555938401.6589153,7654,99.375
1555938403.0190897,7704,99.46875
1555938404.3751144,7754,98.96875
1555938405.7131639,7804,99.125
1555938407.070797,7854,99.4375
1555938408.4748077,7904,99.15625
1555938409.8817065,7954,98.96875
1555938411.2557924,8004,99.1875
1555938412.6058574,8054,99.3125
1555938414.0030885,8104,98.9375
1555938415.3950012,8154,98.75
1555938416.8229349,8204,98.96875
1555938418.1690125,8254,98.59375
1555938419.5332015,8304,99.4375
1555938420.9054832,8354,99.0625
1555938422.2534406,8404,98.90625
1555938426.7404747,8492,99.0625
1555938428.1019616,8542,99.125
1555938429.444988,8592,99.125
1555938430.7763572,8642,99.28125
1555938432.1335092,8692,99.28125
1555938433.506343,8742,99.53125
1555938434.8633611,8792,99.3125
1555938436.2204459,8842,99.21875
1555938437.5596333,8892,98.84375
1555938438.8906586,8942,98.9375
1555938440.2450848,8992,99.28125
1555938441.6014435,9042,99.34375
1555938442.9569974,9092,99.03125
1555938444.3855991,9142,98.9375
1555938445.8777966,9192,99.28125
1555938447.3803184,9242,99.125
1555938448.8072762,9292,99.15625
1555938450.1875935,9342,99.0
1555938452.5407434,9430,99.28125
1555938454.007021,9480,99.375
1555938455.3527153,9530,99.5625
1555938456.750287,9580,99.1875
1555938458.1597576,9630,99.46875
1555938459.59839,9680,99.1875
1555938460.9991548,9730,99.28125
1555938462.4140315,9780,99.4375
1555938463.8425865,9830,99.46875
1555938465.2242544,9880,99.4375
1555938466.5869293,9930,99.21875
1555938467.978462,9980,99.34375
1555938469.3364918,10030,99.125
1555938470.6939163,10080,99.3125
1555938472.0319486,10130,99.15625
1555938473.3693771,10180,99.34375
1555938474.7367516,10230,99.4375
1555938476.0550268,10280,99.15625
1555938480.4933429,10368,99.53125
1555938481.8278935,10418,99.40625
1555938483.199059,10468,99.5
1555938484.5503962,10518,99.5
1555938485.9003685,10568,99.40625
1555938487.261138,10618,99.4375
1555938488.6098714,10668,99.46875
1555938489.9786234,10718,99.5
1555938491.316574,10768,99.40625
1555938492.6735969,10818,99.59375
1555938494.0078309,10868,99.28125
1555938495.3482902,10918,99.375
1555938496.685698,10968,99.59375
1555938498.0485523,11018,99.375
1555938499.4498327,11068,99.53125
1555938500.7822,11118,99.40625
1555938502.1323726,11168,99.34375
1555938503.479843,11218,99.28125
1555938505.8278825,11306,99.4375
1555938507.1892567,11356,99.6875
1555938508.5354414,11406,99.46875
1555938509.9833064,11456,99.6875
1555938511.4159513,11506,99.65625
1555938512.84433,11556,99.375
1555938514.3005707,11606,99.46875
1555938515.6543176,11656,99.3125
1555938517.0187724,11706,99.625
1555938518.3573725,11756,99.28125
1555938519.7287836,11806,99.71875
1555938521.0875924,11856,99.59375
1555938522.451834,11906,99.75
1555938523.825697,11956,99.375
1555938525.2276502,12006,99.625
1555938526.6600685,12056,99.40625
1555938528.0974495,12106,99.375
1555938529.5308182,12156,99.15625
1555938534.058893,12244,99.53125
1555938535.3936107,12294,99.46875
1555938536.746613,12344,99.5625
1555938538.1031752,12394,99.5625
1555938539.4588645,12444,99.46875
1555938540.8158832,12494,99.375
1555938542.1631856,12544,99.34375
1555938543.5146744,12594,99.6875
1555938544.8533864,12644,99.5625
1555938546.214384,12694,99.46875
1555938547.559926,12744,99.5
1555938548.9569478,12794,99.65625
1555938550.3132155,12844,99.46875
1555938551.663295,12894,99.625
1555938553.007126,12944,99.75
1555938554.347961,12994,99.59375
1555938555.7254257,13044,99.3125
1555938557.0806003,13094,99.5625
1555938559.413596,13182,99.75
1555938560.8428223,13232,99.53125
1555938562.2039795,13282,99.21875
1555938563.5720596,13332,99.71875
1555938564.928509,13382,99.78125
1555938566.2792852,13432,99.5625
1555938567.6394475,13482,99.5625
1555938568.9880354,13532,99.375
1555938570.3263125,13582,99.5
1555938571.6888816,13632,99.6875
1555938573.044783,13682,99.40625
1555938574.3967972,13732,99.6875
1555938575.8325536,13782,99.75
1555938577.275525,13832,99.6875
1555938578.7631137,13882,99.71875
1555938580.3253622,13932,99.46875
1555938581.701559,13982,99.8125
1555938583.0849266,14032,99.75
1555938587.5452366,14120,99.78125
1555938588.9029646,14170,99.71875
1555938590.2744458,14220,99.71875
1555938591.694361,14270,99.625
1555938593.1283329,14320,99.9375
1555938594.5820394,14370,99.4375
1555938595.9991217,14420,99.53125
1555938597.4037917,14470,99.8125
1555938598.7835698,14520,99.40625
1555938600.1865401,14570,99.5625
1555938601.5519402,14620,99.84375
1555938602.8969297,14670,99.5625
1555938604.2841978,14720,99.46875
1555938605.6736243,14770,99.5625
1555938607.037415,14820,99.46875
1555938608.3998058,14870,99.53125
1555938609.7573333,14920,99.40625
1555938611.1117208,14970,99.5625
1555938613.498202,15058,99.46875
1555938614.8530025,15108,99.78125
1555938616.237754,15158,99.65625
1555938617.629171,15208,99.84375
1555938618.9702756,15258,99.5
1555938620.3241742,15308,99.4375
1555938621.6869724,15358,99.65625
1555938623.0753725,15408,99.65625
1555938624.4337673,15458,99.65625
1555938625.7687166,15508,99.65625
1555938627.1376622,15558,99.625
1555938628.5246625,15608,99.4375
1555938629.900008,15658,99.625
1555938631.2676606,15708,99.8125
1555938632.6126,15758,99.5625
1555938633.9640763,15808,99.53125
1555938635.309481,15858,99.5
1555938636.6679065,15908,99.75
1555938641.1914027,15996,99.5
1555938642.6647632,16046,99.625
1555938644.145166,16096,99.6875
1555938645.6163476,16146,99.6875
1555938646.9858122,16196,99.625
1555938648.367152,16246,99.78125
1555938649.74419,16296,99.71875
1555938651.0908022,16346,99.5625
1555938652.469111,16396,99.75
1555938653.8456047,16446,99.53125
1555938655.236957,16496,99.5625
1555938656.6130905,16546,99.46875
1555938658.041306,16596,99.40625
1555938659.4979372,16646,99.375
1555938660.9876008,16696,99.59375
1555938662.430058,16746,99.625
1555938663.8050964,16796,99.8125
1555938665.1694663,16846,99.75
1555938667.5590928,16934,99.75
1555938668.9164317,16984,99.75
1555938670.2753615,17034,99.8125
1555938671.633013,17084,99.65625
1555938673.0109215,17134,99.78125
1555938674.3642058,17184,99.71875
1555938675.7368352,17234,99.71875
1555938677.0490222,17284,99.78125
1555938678.4044561,17334,99.8125
1555938679.866295,17384,99.8125
1555938681.2324657,17434,99.6875
1555938682.5867312,17484,99.84375
1555938683.9570363,17534,99.625
1555938685.3246152,17584,99.875
1555938686.683048,17634,99.84375
1555938688.0347333,17684,99.84375
1555938689.3963363,17734,99.65625
1555938690.787044,17784,99.71875
1555938695.3073037,17872,99.78125
1555938696.6678262,17922,99.65625
1555938698.0344877,17972,99.71875
1555938699.4203296,18022,99.71875
1555938700.860788,18072,99.8125
1555938702.2265997,18122,99.875
1555938703.5694954,18172,99.65625
1555938704.9436152,18222,99.5625
1555938706.2825124,18272,99.875
1555938707.7648246,18322,99.9375
1555938709.278976,18372,99.75
1555938710.7559905,18422,99.75
1555938712.1603994,18472,99.78125
1555938713.5285504,18522,99.6875
1555938715.0372636,18572,99.875
1555938716.5044763,18622,99.96875
1555938717.8529267,18672,99.4375
1555938719.2484493,18722,99.78125
1555938721.6663032,18810,99.625
1555938723.074853,18860,99.59375
1555938724.486287,18910,99.96875
1555938725.9633956,18960,99.78125
1555938727.3998523,19010,99.78125
1555938728.8163455,19060,99.8125
1555938730.2018387,19110,99.75
1555938731.5603888,19160,99.90625
1555938732.917696,19210,99.78125
1555938734.3004735,19260,99.90625
1555938735.6204035,19310,99.75
1555938736.9910727,19360,99.6875
1555938738.3539565,19410,99.84375
1555938739.7168286,19460,99.75
1555938741.084208,19510,99.9375
1555938742.4429848,19560,99.84375
1555938743.793341,19610,99.84375
1555938745.1665933,19660,99.6875
1555938749.629809,19748,99.875
1555938751.002793,19798,100.0
1555938752.3510566,19848,99.78125
1555938753.7220693,19898,99.9375
1555938755.1002176,19948,99.875
1555938756.4743564,19998,99.8125
1555938757.8414798,20048,99.65625
1555938759.210982,20098,99.9375
1555938760.5877974,20148,99.65625
1555938761.9325106,20198,99.71875
1555938763.2788897,20248,99.65625
1555938764.6530504,20298,99.78125
1555938766.02374,20348,100.0
1555938767.3818605,20398,99.78125
1555938768.7366781,20448,99.6875
1555938770.1277342,20498,99.75
1555938771.515488,20548,99.96875
1555938772.959509,20598,99.84375
1555938775.548873,20686,99.71875
1555938777.05419,20736,99.9375
1555938778.4335692,20786,99.90625
1555938779.8181894,20836,99.84375
1555938781.1752517,20886,99.875
1555938782.5342886,20936,99.875
1555938783.9028995,20986,99.75
1555938785.2854252,21036,99.75
1555938786.7154193,21086,99.75
1555938788.0596783,21136,99.84375
1555938789.4396875,21186,99.75
1555938790.8751452,21236,99.9375
1555938792.2969213,21286,99.78125
1555938793.773622,21336,99.84375
1555938795.2075171,21386,99.84375
1555938796.6008744,21436,99.875
1555938797.961643,21486,99.65625
1555938799.3488908,21536,99.90625
1555938803.8995674,21624,99.84375
1555938805.2600074,21674,99.90625
1555938806.6129508,21724,99.96875
1555938807.9671512,21774,99.90625
1555938809.3293426,21824,99.96875
1555938810.705329,21874,99.75
1555938812.0505233,21924,99.96875
1555938813.4113638,21974,99.9375
1555938814.7672048,22024,99.9375
1555938816.1475253,22074,99.90625
1555938817.4862502,22124,99.90625
1555938818.8516796,22174,99.90625
1555938820.2273002,22224,99.8125
1555938821.576295,22274,99.9375
1555938822.9799955,22324,99.65625
1555938824.3477967,22374,99.90625
1555938825.71547,22424,99.71875
1555938827.0611112,22474,99.875
1555938829.4717748,22562,99.8125
1555938830.841578,22612,99.96875
1555938832.1991198,22662,99.8125
1555938833.567214,22712,99.84375
1555938834.94611,22762,99.9375
1555938836.3028831,22812,99.84375
1555938837.6894665,22862,99.90625
1555938839.190718,22912,99.8125
1555938840.7249885,22962,99.9375
1555938842.1894195,23012,99.9375
1555938843.6085572,23062,99.84375
1555938844.9947731,23112,99.9375
1555938846.357036,23162,99.90625
1555938847.8392005,23212,99.96875
1555938849.223426,23262,99.9375
1555938850.5796797,23312,99.9375
1555938851.9257913,23362,99.875
1555938853.3250163,23412,99.84375
1555938857.9016788,23500,100.0
1555938859.305857,23550,99.96875
1555938860.7673953,23600,99.9375
1555938862.1956725,23650,99.9375
1555938863.570198,23700,99.9375
1555938864.9325638,23750,99.96875
1555938866.2959976,23800,99.8125
1555938867.6602988,23850,99.96875
