Wall time,Step,Value
1555938209.885999,1,8.48062515258789
1555938264.444627,2,3.320533037185669
1555938317.893799,3,2.8002078533172607
1555938371.2313025,4,2.0767273902893066
1555938425.3580334,5,2.6945364475250244
1555938479.1387625,6,2.047351837158203
1555938532.6916385,7,1.841543436050415
1555938586.186088,8,1.9167602062225342
1555938639.797696,9,2.875749111175537
1555938693.934585,10,2.0311026573181152
1555938748.2677133,11,1.9390184879302979
1555938802.5240262,12,2.469465970993042
1555938856.42656,13,1.7193231582641602
1555938910.080998,14,1.9043481349945068
1555938963.4849138,15,2.3207974433898926
