Wall time,Step,Value
1555815513.5595467,1,78.56999969482422
1555815537.8818264,2,89.7699966430664
1555815563.230275,3,91.63999938964844
1555815592.8023179,4,92.45999908447266
1555815635.8130984,5,93.37999725341797
1555815662.7241805,6,94.0199966430664
1555815689.7770264,7,94.44999694824219
1555815719.2775533,8,94.83000183105469
1555815746.9404397,9,95.12000274658203
1555815769.038981,10,95.37000274658203
1555815792.8639772,11,95.69999694824219
1555815817.0273283,12,95.94000244140625
1555815840.8326428,13,96.12999725341797
1555815863.4907403,14,96.3499984741211
1555815891.0948846,15,96.56999969482422
