Wall time,Step,Value
1557196714.3864498,50,10.03125
1557196716.4701293,100,10.03125
1557196719.0877533,150,11.21875
1557196721.5238843,200,11.25
1557196724.2465591,250,10.28125
1557196726.6991498,300,10.4375
1557196730.5477378,350,11.1875
1557196734.3843875,400,10.25
1557196738.117676,450,10.875
1557196742.0686166,500,11.0
1557196745.3001995,550,22.65625
1557196748.5311642,600,72.78125
1557196751.8846955,650,87.3125
1557196755.1600046,700,90.84375
1557196758.5096288,750,92.75
1557196761.2751024,800,93.8125
1557196764.826118,850,94.28125
1557196767.6510801,900,94.53125
1557196779.3647707,988,95.75
1557196782.3945968,1038,96.34375
1557196785.290589,1088,96.40625
1557196790.7058377,1138,96.125
1557196793.8073807,1188,96.4375
1557196797.1554737,1238,96.21875
1557196800.3079782,1288,97.0
1557196803.7988877,1338,97.28125
1557196806.655104,1388,97.03125
1557196809.7869627,1438,96.875
1557196812.923957,1488,97.53125
1557196816.1252527,1538,97.15625
1557196819.3023283,1588,97.09375
1557196822.4806354,1638,96.5
1557196825.684408,1688,97.46875
1557196828.8576767,1738,97.625
1557196831.9646254,1788,98.0625
1557196835.1238678,1838,98.03125
1557196840.9049344,1926,97.5
1557196844.1973584,1976,97.84375
1557196847.2870626,2026,97.09375
1557196850.5362916,2076,98.21875
1557196853.5912375,2126,98.3125
1557196856.830508,2176,98.40625
1557196860.0484533,2226,98.6875
1557196864.0452957,2276,98.03125
1557196866.8866892,2326,97.90625
1557196869.6315305,2376,98.3125
1557196873.2197847,2426,98.0
1557196876.887606,2476,98.03125
1557196880.1040215,2526,98.0625
1557196883.273834,2576,98.375
1557196886.477259,2626,98.40625
1557196889.7061198,2676,97.96875
1557196892.7980871,2726,98.09375
1557196895.9574907,2776,98.03125
1557196907.2819383,2864,98.21875
1557196910.5085256,2914,98.53125
1557196913.6989546,2964,98.09375
1557196917.0618587,3014,98.8125
1557196920.3786607,3064,98.8125
1557196923.7668529,3114,98.40625
1557196926.9690816,3164,98.5
1557196930.1965077,3214,98.59375
1557196933.5033367,3264,98.5625
1557196936.7179945,3314,98.46875
1557196939.9270651,3364,98.3125
1557196943.0901856,3414,98.4375
1557196946.2974672,3464,99.0
1557196949.4321115,3514,98.0625
1557196952.6199737,3564,98.625
1557196955.7946584,3614,98.6875
1557196958.9825146,3664,98.375
1557196962.2073863,3714,98.5
1557196967.7864065,3802,99.0625
1557196971.139189,3852,98.75
1557196974.568474,3902,98.8125
1557196977.7378714,3952,99.1875
1557196980.9489448,4002,98.90625
1557196984.16099,4052,98.9375
1557196987.3285527,4102,98.625
1557196990.4871197,4152,98.78125
1557196993.589701,4202,98.46875
1557196996.6307135,4252,98.9375
1557196999.7618313,4302,98.78125
1557197002.909968,4352,98.4375
1557197006.0029738,4402,98.4375
1557197008.9803205,4452,98.59375
1557197012.1523292,4502,98.75
1557197015.7410896,4552,98.875
1557197018.602268,4602,98.9375
1557197022.1204436,4652,99.03125
1557197032.1774132,4740,98.84375
1557197035.4859443,4790,99.34375
1557197038.9386442,4840,98.9375
1557197042.1589227,4890,99.03125
1557197045.3396862,4940,99.03125
1557197048.536437,4990,98.84375
1557197051.6466396,5040,99.0625
1557197054.8074324,5090,99.15625
1557197058.0195735,5140,98.84375
1557197061.560602,5190,99.1875
1557197064.9219074,5240,99.15625
1557197067.8022478,5290,99.1875
1557197071.5756037,5340,98.53125
1557197074.8578122,5390,99.4375
1557197078.065467,5440,98.78125
1557197081.2921586,5490,98.59375
1557197084.467413,5540,98.90625
1557197087.6643345,5590,98.84375
1557197093.2572343,5678,99.25
1557197096.4372747,5728,99.28125
1557197099.6127434,5778,99.125
1557197103.0519366,5828,99.0625
1557197106.402896,5878,99.1875
1557197109.5680857,5928,99.375
1557197112.7759888,5978,99.25
1557197115.9889715,6028,99.34375
1557197119.159381,6078,99.15625
1557197122.2950199,6128,99.40625
1557197125.52355,6178,99.21875
1557197128.7222953,6228,99.09375
1557197131.932029,6278,99.28125
1557197135.1248088,6328,99.0625
1557197138.3092725,6378,99.25
1557197141.4916961,6428,99.0625
1557197144.6653693,6478,99.15625
1557197147.8397233,6528,99.375
1557197158.4132574,6616,99.375
1557197161.6880445,6666,99.46875
1557197165.1861117,6716,99.3125
1557197168.6991138,6766,98.9375
1557197172.1498516,6816,99.15625
1557197175.2738085,6866,99.4375
1557197178.4215877,6916,99.5
1557197181.6019864,6966,99.125
1557197184.7896426,7016,99.3125
1557197187.9665768,7066,99.46875
1557197191.1051931,7116,99.125
1557197194.1785593,7166,99.375
1557197197.40744,7216,99.46875
1557197200.6193008,7266,99.46875
1557197203.7437665,7316,99.46875
1557197207.179203,7366,99.5
1557197210.0165117,7416,99.1875
1557197213.1823711,7466,99.40625
1557197217.9914782,7554,99.75
1557197220.4601524,7604,99.5
1557197222.6624725,7654,99.59375
1557197224.9557452,7704,99.53125
1557197227.8533926,7754,99.59375
1557197231.0528107,7804,99.5625
1557197234.4545197,7854,99.53125
1557197237.884125,7904,99.375
1557197241.076138,7954,99.5
1557197244.2685847,8004,99.28125
1557197247.4156525,8054,99.4375
1557197250.6406312,8104,99.3125
1557197253.788499,8154,99.4375
1557197256.9896104,8204,99.40625
1557197260.209468,8254,99.0625
1557197263.3990426,8304,99.4375
1557197266.5486877,8354,99.28125
1557197269.7132883,8404,99.625
1557197280.498464,8492,99.40625
1557197283.6469595,8542,99.59375
1557197286.95967,8592,99.6875
1557197290.3760436,8642,99.71875
1557197293.5544393,8692,99.59375
1557197296.81937,8742,99.28125
1557197300.2158625,8792,99.625
1557197303.7073648,8842,99.59375
1557197307.0659852,8892,99.78125
1557197310.2642064,8942,99.625
1557197313.5376155,8992,99.75
1557197316.811579,9042,99.65625
1557197320.1059544,9092,99.28125
1557197323.43439,9142,99.53125
1557197326.6321256,9192,99.4375
1557197329.8613675,9242,99.3125
1557197333.1059532,9292,99.15625
1557197336.3485768,9342,99.71875
1557197342.2179804,9430,99.625
1557197345.0656073,9480,99.75
1557197347.034953,9530,99.78125
1557197349.2205017,9580,99.65625
1557197351.1350338,9630,99.75
1557197352.9271076,9680,99.625
1557197355.0920312,9730,99.75
1557197358.3053966,9780,99.8125
1557197361.5065432,9830,99.875
1557197364.8385446,9880,99.5625
1557197368.524657,9930,99.6875
1557197371.7371068,9980,99.5625
1557197374.9016757,10030,99.78125
1557197378.0994434,10080,99.625
1557197381.3974204,10130,99.6875
1557197384.6084993,10180,99.59375
1557197387.7729547,10230,99.75
1557197390.9879372,10280,99.78125
1557197402.0425067,10368,99.90625
1557197405.1747081,10418,99.75
1557197408.3402164,10468,99.75
1557197411.510546,10518,99.84375
1557197414.7191255,10568,99.875
1557197417.8928766,10618,99.625
1557197421.004529,10668,99.875
1557197424.1731813,10718,99.9375
1557197427.266357,10768,99.65625
1557197430.665165,10818,99.75
1557197434.3969367,10868,99.5625
1557197437.5784233,10918,99.875
1557197440.784675,10968,99.6875
1557197443.9903321,11018,99.625
1557197447.1761005,11068,99.59375
1557197450.387219,11118,99.6875
1557197453.8570685,11168,99.625
1557197457.1666958,11218,99.6875
1557197462.9153917,11306,99.5625
1557197466.0754373,11356,99.875
1557197469.254731,11406,99.8125
1557197472.4735842,11456,99.90625
1557197475.6781673,11506,99.75
1557197478.915463,11556,99.84375
1557197482.113585,11606,99.875
1557197485.251893,11656,99.9375
1557197488.4229152,11706,99.84375
1557197491.8482337,11756,99.90625
1557197494.9780908,11806,99.84375
1557197498.392745,11856,99.875
1557197501.7431772,11906,99.53125
1557197504.9999669,11956,99.78125
1557197508.167336,12006,99.65625
1557197511.2918675,12056,99.84375
1557197514.4868305,12106,99.65625
1557197517.571023,12156,99.875
1557197528.2809036,12244,99.90625
1557197531.6622307,12294,99.84375
1557197534.8507786,12344,99.875
1557197537.950165,12394,99.8125
1557197541.2322505,12444,99.90625
1557197544.4018297,12494,99.9375
1557197547.521126,12544,99.84375
1557197550.7038531,12594,99.875
1557197553.850242,12644,99.9375
1557197557.0746272,12694,99.96875
1557197560.2850776,12744,99.9375
1557197564.2164955,12794,99.8125
1557197567.5907118,12844,99.84375
1557197570.8093486,12894,99.96875
1557197574.2366679,12944,99.875
1557197577.468457,12994,99.8125
1557197580.768641,13044,99.8125
1557197583.8495255,13094,99.8125
1557197589.2612267,13182,99.875
1557197592.418087,13232,99.875
1557197595.7198164,13282,99.9375
1557197599.2456214,13332,99.9375
1557197602.5846968,13382,100.0
1557197605.8932714,13432,99.8125
1557197608.895937,13482,100.0
1557197612.0927007,13532,99.9375
1557197615.1557765,13582,99.90625
1557197618.2447603,13632,99.8125
1557197621.394921,13682,99.84375
1557197624.6679418,13732,99.84375
1557197627.8597558,13782,99.90625
1557197631.5457184,13832,99.90625
1557197634.6400664,13882,99.9375
1557197637.8664308,13932,99.84375
1557197641.1922648,13982,99.8125
1557197644.0840786,14032,99.78125
1557197652.1423507,14120,99.8125
1557197655.3002565,14170,100.0
1557197658.3256204,14220,99.9375
1557197661.511825,14270,99.78125
1557197664.832421,14320,99.9375
1557197667.7205052,14370,99.9375
1557197670.4813435,14420,99.84375
1557197673.6148434,14470,99.96875
1557197675.98585,14520,99.8125
1557197678.3662844,14570,99.875
1557197680.679817,14620,99.9375
1557197682.8850646,14670,99.9375
1557197685.0318506,14720,99.78125
1557197688.2129517,14770,99.90625
1557197691.336034,14820,99.96875
1557197694.5166502,14870,99.9375
1557197697.8509593,14920,100.0
1557197700.654344,14970,99.90625
1557197705.927775,15058,99.9375
1557197709.0683973,15108,99.9375
1557197713.329186,15158,99.875
1557197720.8672256,15208,99.875
1557197724.7319887,15258,99.875
1557197727.904528,15308,99.90625
1557197730.6637428,15358,99.8125
1557197733.7172189,15408,100.0
1557197736.7046268,15458,99.9375
1557197739.8620286,15508,99.9375
1557197742.9099822,15558,99.9375
1557197745.9968693,15608,99.96875
1557197749.0971758,15658,99.90625
1557197752.799983,15708,99.90625
1557197756.3566108,15758,99.90625
1557197759.7036982,15808,99.90625
1557197763.0159826,15858,100.0
1557197766.14772,15908,99.9375
1557197776.6993537,15996,99.96875
1557197779.8321803,16046,99.9375
1557197782.9361916,16096,99.90625
1557197786.1150985,16146,100.0
1557197789.1815357,16196,99.96875
1557197792.3679864,16246,99.84375
1557197795.5784247,16296,99.96875
1557197798.8530657,16346,100.0
1557197801.995959,16396,99.9375
1557197805.1750596,16446,99.875
1557197808.3389766,16496,99.96875
1557197811.4821773,16546,100.0
1557197814.3487577,16596,100.0
1557197816.687922,16646,99.96875
1557197819.7976909,16696,99.9375
1557197823.0795035,16746,100.0
1557197826.4511507,16796,100.0
1557197829.7677512,16846,99.9375
1557197835.4958372,16934,100.0
1557197838.6477149,16984,100.0
1557197843.4070313,17034,99.96875
1557197847.0374248,17084,99.9375
1557197850.653343,17134,99.9375
1557197854.0482378,17184,100.0
1557197857.1693733,17234,100.0
1557197860.312382,17284,99.96875
1557197863.4646163,17334,99.9375
1557197866.4686413,17384,99.90625
1557197869.6054492,17434,99.96875
1557197872.6831484,17484,100.0
1557199030.8438165,17534,99.9375
1557199034.4877198,17584,99.96875
1557199037.5695908,17634,99.9375
1557199039.959236,17684,100.0
1557199041.8579679,17734,99.90625
1557199043.7242143,17784,99.96875
1557199050.421818,17872,100.0
1557199052.4118156,17922,99.96875
1557199054.2799757,17972,99.96875
1557199056.204748,18022,100.0
1557199058.6537673,18072,99.96875
1557199061.712224,18122,99.9375
1557199064.7886612,18172,100.0
1557199067.99333,18222,99.9375
1557199071.0008297,18272,99.9375
1557199074.2327864,18322,99.96875
1557199077.4096067,18372,99.96875
1557199080.6272855,18422,99.9375
1557199083.9398558,18472,100.0
1557199086.993883,18522,100.0
1557199090.005659,18572,100.0
1557199093.8811688,18622,100.0
1557199098.5472014,18672,99.90625
1557199103.2308838,18722,99.9375
1557199109.4142632,18810,100.0
1557199112.7563062,18860,99.96875
1557199115.9234285,18910,99.96875
1557199119.2666183,18960,100.0
1557199122.36059,19010,100.0
1557199125.5935905,19060,99.96875
1557199128.572698,19110,100.0
1557199131.6701097,19160,100.0
1557199134.9034548,19210,100.0
1557199137.9608138,19260,99.96875
1557199141.0335248,19310,100.0
1557199144.0651567,19360,99.96875
1557199147.1414828,19410,99.9375
1557199150.213385,19460,100.0
1557199153.3307369,19510,100.0
1557199156.4750323,19560,99.96875
1557199159.612839,19610,100.0
1557199162.9394944,19660,99.96875
1557199173.9122066,19748,100.0
1557199176.9086514,19798,100.0
1557199180.027105,19848,100.0
1557199183.1682913,19898,100.0
1557199186.2906613,19948,99.90625
1557199189.399385,19998,99.9375
1557199192.6000762,20048,99.96875
1557199195.844856,20098,100.0
1557199198.9953141,20148,99.96875
1557199202.1311114,20198,100.0
1557199205.2295446,20248,99.96875
1557199208.302052,20298,100.0
1557199211.4432893,20348,99.96875
1557199214.5679762,20398,100.0
1557199217.7011263,20448,100.0
1557199220.8425725,20498,99.96875
1557199224.014646,20548,100.0
1557199226.7880766,20598,100.0
1557199232.7698603,20686,99.96875
1557199235.9411762,20736,99.96875
1557199239.081407,20786,100.0
1557199242.2006183,20836,100.0
1557199245.3278358,20886,100.0
1557199248.405166,20936,100.0
1557199251.464007,20986,100.0
1557199254.9014673,21036,99.96875
1557199258.0028088,21086,100.0
1557199261.153198,21136,100.0
1557199264.2622917,21186,99.96875
1557199267.4099112,21236,100.0
1557199270.5131626,21286,100.0
1557199273.6303377,21336,99.96875
1557199276.738403,21386,100.0
1557199279.8657725,21436,99.9375
1557199282.9669485,21486,99.9375
1557199286.0814404,21536,99.96875
1557199297.080387,21624,100.0
1557199300.4805963,21674,99.96875
1557199303.6476092,21724,100.0
1557199306.7729049,21774,100.0
1557199309.867871,21824,99.96875
1557199313.0124702,21874,100.0
1557199316.1293151,21924,99.96875
1557199319.4744325,21974,100.0
1557199322.660374,22024,100.0
1557199325.8073351,22074,99.96875
1557199328.9222274,22124,100.0
1557199332.1068661,22174,100.0
1557199335.4067576,22224,99.96875
1557199338.582815,22274,99.96875
1557199341.693067,22324,100.0
1557199344.793931,22374,100.0
1557199347.89643,22424,100.0
