Wall time,Step,Value
1557196776.0846899,1,95.72000122070312
1557196903.820029,2,98.16999816894531
1557197029.0338128,3,98.66000366210938
1557197155.2472298,4,98.83999633789062
1557197277.2826777,5,98.66000366210938
1557197398.421237,6,98.97000122070312
1557197524.9929106,7,98.93000030517578
1557197649.6128511,8,99.0
1557197773.625119,9,98.9800033569336
1557199048.1003833,10,99.0
1557199170.799835,11,98.97000122070312
1557199293.7303226,12,99.05000305175781
1557199419.3152628,13,99.05000305175781
1557199542.9989355,14,99.06999969482422
1557199664.4013243,15,99.02999877929688
