Wall time,Step,Value
1557196776.0836895,1,8.893316268920898
1557196903.8057647,2,3.138507127761841
1557197029.0338128,3,2.247798442840576
1557197155.2433424,4,1.9953035116195679
1557197277.2816796,5,2.0750303268432617
1557197398.42024,6,1.7790058851242065
1557197524.9918697,7,1.7580393552780151
1557197649.6128511,8,1.6313693523406982
1557197773.6241205,9,1.6838845014572144
1557199048.0991597,10,1.6900559663772583
1557199170.7988389,11,1.7951527833938599
1557199293.7293274,12,1.6832501888275146
1557199419.3142672,13,1.6762739419937134
1557199542.9989355,14,1.6775286197662354
1557199664.3982859,15,1.7133785486221313
