Wall time,Step,Value
1555468554.3453958,50,10.46875
1555468554.6949782,100,11.875
1555468555.42783,200,25.96875
1555468555.7656786,250,74.65625
1555468556.0924811,300,82.96875
1555468556.429118,350,87.40625
1555468556.7858016,400,87.96875
1555468557.1566696,450,90.34375
1555468557.5189388,500,91.15625
1555468557.903247,550,91.03125
1555468558.2901137,600,90.5
1555468558.7352085,650,91.53125
1555468559.133604,700,91.6875
1555468559.517743,750,92.5625
1555468559.8848166,800,92.78125
1555468560.2782643,850,92.71875
1555468560.6463442,900,92.71875
1555468562.1536415,988,93.59375
1555468562.555734,1038,94.21875
1555468562.8932896,1088,94.3125
1555468563.22603,1138,94.4375
1555468563.5702736,1188,94.0625
1555468563.891246,1238,94.34375
1555468564.2193396,1288,94.0
1555468564.5692012,1338,94.28125
1555468564.925276,1388,95.0
1555468565.2480586,1438,94.09375
1555468565.9509516,1538,95.65625
1555468566.3083076,1588,95.21875
1555468566.63951,1638,96.0
1555468567.0523436,1688,94.9375
1555468567.382511,1738,94.90625
1555468567.6992261,1788,95.5625
1555468568.0822122,1838,95.46875
1555468568.6985152,1926,95.375
1555468569.0614004,1976,95.9375
1555468569.4794066,2026,95.6875
1555468569.8196757,2076,96.09375
1555468570.167679,2126,96.46875
1555468570.9152348,2226,96.3125
1555468571.2634504,2276,96.71875
1555468571.6510286,2326,96.75
1555468572.0061035,2376,96.65625
1555468572.343311,2426,96.5
1555468572.6829472,2476,96.28125
1555468573.0379395,2526,96.46875
1555468573.4014978,2576,96.53125
1555468573.7453809,2626,97.03125
1555468574.105928,2676,96.40625
1555468574.4563704,2726,96.5
1555468574.803401,2776,97.25
1555468576.2192292,2864,97.125
1555468576.539298,2914,96.875
1555468576.8905003,2964,97.875
1555468577.2422047,3014,97.375
1555468577.6323006,3064,97.03125
1555468577.9844205,3114,97.90625
1555468578.340421,3164,97.03125
1555468578.6695178,3214,97.125
1555468579.0165498,3264,97.59375
1555468579.346144,3314,97.21875
1555468579.7537072,3364,97.21875
1555468580.0846062,3414,97.03125
1555468580.4355698,3464,97.84375
1555468580.7918355,3514,97.40625
1555468581.1179144,3564,97.40625
1555468581.4727027,3614,97.15625
1555468582.1610382,3714,96.65625
1555468582.766541,3802,97.375
1555468583.1097403,3852,97.84375
1555468583.4595385,3902,97.40625
1555468583.7819095,3952,97.75
1555468584.1307726,4002,97.84375
1555468584.4966283,4052,98.375
1555468584.8276618,4102,97.8125
1555468585.1729672,4152,97.8125
1555468585.513656,4202,97.96875
1555468585.8531713,4252,97.65625
1555468586.198826,4302,97.875
1555468586.5317163,4352,97.0625
1555468586.8631935,4402,98.03125
1555468587.1872978,4452,98.25
1555468587.5228019,4502,97.8125
1555468587.852323,4552,98.03125
1555468588.1789365,4602,97.96875
1555468588.5225096,4652,97.375
1555468589.904219,4740,98.4375
1555468590.2401588,4790,98.84375
1555468590.5707052,4840,98.28125
1555468590.9312568,4890,98.4375
1555468591.2815664,4940,98.84375
1555468591.6095376,4990,98.53125
1555468591.936025,5040,98.875
1555468592.3147137,5090,98.125
1555468592.6587765,5140,98.34375
1555468592.989508,5190,98.5625
1555468593.3082864,5240,97.78125
1555468593.6614695,5290,97.90625
1555468594.0050504,5340,97.71875
1555468594.32747,5390,97.78125
1555468594.6958835,5440,98.0625
1555468595.0404253,5490,98.34375
1555468595.3915906,5540,98.125
1555468595.734059,5590,97.8125
1555468596.3089628,5678,98.53125
1555468596.6388488,5728,98.46875
1555468596.9648073,5778,98.625
1555468597.3007421,5828,98.625
1555468597.644321,5878,98.375
1555468597.9571857,5928,98.53125
1555468598.3264635,5978,99.03125
1555468598.669061,6028,98.65625
1555468599.0068655,6078,98.5625
1555468599.330261,6128,98.3125
1555468599.6802726,6178,98.28125
1555468600.0219285,6228,98.78125
1555468600.3483255,6278,98.78125
1555468600.6975226,6328,98.5625
1555468601.0224206,6378,98.28125
1555468601.4023585,6428,98.75
1555468601.7396626,6478,98.5
1555468602.0865746,6528,98.4375
1555468603.4488218,6616,99.28125
1555468603.7971795,6666,99.0
1555468604.5156717,6766,98.9375
1555468604.8781946,6816,98.75
1555468605.201849,6866,98.625
1555468605.879574,6966,98.84375
1555468606.2015707,7016,98.65625
1555468606.5797348,7066,99.09375
1555468606.9179409,7116,98.96875
1555468607.2545424,7166,98.8125
1555468607.587833,7216,98.5625
1555468607.9281414,7266,99.28125
1555468608.2989256,7316,98.4375
1555468608.6250567,7366,98.53125
1555468608.9746668,7416,98.5625
1555468609.323599,7466,98.75
1555468609.9441264,7554,99.03125
1555468610.293628,7604,98.8125
1555468610.6531134,7654,98.84375
1555468611.0134294,7704,99.5625
1555468611.3271604,7754,98.875
1555468611.6341648,7804,98.90625
1555468612.1785958,7854,99.25
1555468612.5943933,7904,98.96875
1555468613.2868059,8004,98.96875
1555468613.639563,8054,98.75
1555468614.098715,8104,98.84375
1555468614.4531798,8154,98.8125
1555468614.7981675,8204,99.28125
1555468615.21813,8254,98.875
1555468615.6700659,8304,98.75
1555468616.0468636,8354,99.09375
1555468616.4895647,8404,98.90625
1555468617.9066176,8492,99.125
1555468618.2655668,8542,99.125
1555468618.608754,8592,99.5
1555468618.9586532,8642,99.1875
1555468619.300947,8692,99.28125
1555468619.6367183,8742,99.28125
1555468619.9795353,8792,99.28125
1555468620.4061112,8842,99.1875
1555468621.094994,8942,98.96875
1555468621.4487965,8992,99.125
1555468621.784625,9042,99.0625
1555468622.1084533,9092,99.09375
1555468622.4500644,9142,99.34375
1555468622.802536,9192,99.15625
1555468623.141568,9242,99.25
1555468623.5352755,9292,99.3125
1555468623.945322,9342,99.03125
1555468624.6310604,9430,99.4375
1555468625.0322292,9480,99.59375
1555468625.3947465,9530,99.34375
1555468625.7661307,9580,99.5
1555468626.1530328,9630,99.5
1555468626.5127907,9680,99.59375
1555468626.860292,9730,99.28125
1555468627.2269654,9780,99.40625
1555468627.6136143,9830,99.4375
1555468627.995192,9880,99.1875
1555468628.40213,9930,99.125
1555468628.7456276,9980,99.1875
1555468629.4367726,10080,99.21875
1555468629.774703,10130,99.21875
1555468632.132281,10368,99.46875
1555468632.468133,10418,99.6875
