Wall time,Step,Value
1555467821.851583,1,93.45999908447266
1555467836.9127262,2,96.33000183105469
1555467855.0193198,3,96.87000274658203
1555467868.6478982,4,97.16000366210938
1555467883.0959597,5,97.48999786376953
1555467905.8245077,6,97.52999877929688
1555467930.1135423,7,97.5
1555467952.6327906,8,97.69000244140625
1555467984.857114,9,97.81999969482422
1555468013.836818,10,97.80999755859375
1555468046.6063933,11,97.87000274658203
1555468067.2002988,12,97.79000091552734
1555468087.4919245,13,97.75
1555468120.3400242,14,97.8499984741211
1555468151.6036024,15,97.80999755859375
1555468179.9146283,16,97.9000015258789
1555468205.06292,17,97.83999633789062
1555468230.4964411,18,97.8499984741211
1555468256.3594038,19,97.86000061035156
1555468276.9389777,20,97.8499984741211
1555468301.0776515,21,97.9000015258789
1555468326.2167788,22,97.83999633789062
1555468341.4748905,23,97.9000015258789
1555468356.93128,24,97.86000061035156
1555468375.8802185,25,97.81999969482422
1555468401.0803347,26,97.8499984741211
1555468424.3800197,27,97.83000183105469
1555468441.3444877,28,97.83999633789062
1555468457.5826638,29,97.9000015258789
1555468473.8347416,30,97.9000015258789
