Wall time,Step,Value
1555385666.1522293,1,114.74667358398438
1555385681.2148776,2,16.05677032470703
1555385696.2298164,3,8.657854080200195
1555385713.1245255,4,6.6402459144592285
1555385731.2772024,5,5.682031631469727
1555385745.8490129,6,5.429635047912598
1555385761.9763687,7,4.67795467376709
1555385778.4154904,8,4.468362331390381
1555385798.021744,9,4.376916885375977
1555385822.741364,10,4.187533378601074
1555385855.7351308,11,4.181056976318359
1555385880.1362069,12,3.9601783752441406
1555385903.0228736,13,3.951916217803955
1555385926.0685234,14,3.945899724960327
1555385950.2792552,15,4.039344787597656
1555385971.0187924,16,4.030984878540039
1555385992.2702885,17,3.9329566955566406
1555386015.0479064,18,3.9735279083251953
1555386034.8521092,19,4.004510402679443
1555386056.281986,20,3.9476895332336426
1555386078.5124586,21,4.023819923400879
1555386101.3103201,22,3.9927046298980713
1555386123.9577565,23,4.050985336303711
1555386148.568988,24,4.028151988983154
1555386172.2363431,25,4.071109294891357
1555386196.3870468,26,4.069234371185303
1555386219.5549266,27,4.125550746917725
1555386242.5564868,28,4.080620288848877
1555386267.2086425,29,4.15494966506958
1555386292.8206177,30,4.138810157775879
