Wall time,Step,Value
1555142402.1008115,50,11.375
1555142402.4728057,100,11.0
1555142403.1908863,200,11.625
1555142403.5473893,250,12.03125
1555142403.923201,300,12.375
1555142404.28903,350,15.5625
1555142404.6634362,400,15.34375
1555142405.032569,450,18.125
1555142405.4567056,500,25.53125
1555142405.8991637,550,34.0625
1555142406.2671802,600,35.375
1555142406.6531475,650,41.03125
1555142407.0595534,700,46.34375
1555142407.4353719,750,50.4375
1555142407.8339891,800,52.90625
1555142408.260849,850,58.34375
1555142408.6690562,900,60.8125
1555142410.283041,988,65.125
1555142410.6764495,1038,68.84375
1555142411.0344613,1088,69.71875
1555142411.3964996,1138,71.8125
1555142411.7455297,1188,74.0625
1555142412.0975878,1238,74.53125
1555142412.4527512,1288,75.71875
1555142412.8077319,1338,78.40625
1555142413.161781,1388,77.5
1555142413.5200777,1438,79.25
1555142414.2039578,1538,80.46875
1555142414.5420513,1588,81.125
1555142414.892115,1638,81.3125
1555142415.2336428,1688,82.1875
1555142415.5942361,1738,83.40625
1555142415.9363225,1788,83.28125
1555142416.280053,1838,84.21875
1555142416.9615805,1926,84.84375
1555142417.3849988,1976,84.65625
1555142417.8272645,2026,85.34375
1555142418.2574434,2076,86.46875
1555142418.7029238,2126,86.09375
1555142419.5747895,2226,86.46875
1555142420.0036793,2276,86.53125
1555142420.43529,2326,87.09375
1555142420.8611515,2376,88.09375
1555142421.2921357,2426,86.9375
1555142421.7268696,2476,87.6875
1555142422.1616735,2526,86.875
1555142422.5986826,2576,86.15625
1555142423.0326679,2626,87.59375
1555142423.4692311,2676,88.34375
1555142423.9042916,2726,89.21875
1555142424.3328676,2776,88.25
1555142425.8698473,2864,88.75
1555142426.2897074,2914,89.125
1555142426.7215245,2964,89.375
1555142427.15133,3014,89.0
1555142427.587166,3064,89.625
1555142428.0788498,3114,89.0
1555142428.515682,3164,88.3125
1555142428.947609,3214,90.25
1555142429.383362,3264,88.09375
1555142429.815691,3314,90.53125
1555142430.2899375,3364,89.9375
1555142430.7886055,3414,90.21875
1555142431.2809052,3464,89.75
1555142431.7925577,3514,89.28125
1555142432.2722347,3564,89.4375
1555142432.8855534,3614,90.21875
1555142433.8457897,3714,89.9375
1555142434.7064815,3802,90.9375
1555142435.1632793,3852,89.84375
1555142435.6151183,3902,90.0
1555142436.0576246,3952,90.78125
1555142436.5017369,4002,90.25
1555142436.9326873,4052,90.40625
1555142437.3795574,4102,90.0625
1555142437.8339508,4152,90.15625
1555142438.2743304,4202,91.0
1555142438.7192752,4252,91.25
1555142439.158937,4302,90.5625
1555142439.5976021,4352,91.375
1555142440.0409634,4402,89.78125
1555142440.4793706,4452,91.0
1555142440.9224594,4502,91.40625
1555142441.3676894,4552,91.6875
1555142441.811359,4602,91.125
1555142442.2610016,4652,91.71875
1555142443.8469608,4740,91.03125
1555142444.353501,4790,92.03125
1555142444.7879398,4840,90.75
1555142445.2319932,4890,90.6875
1555142445.7234395,4940,92.46875
1555142446.1453097,4990,91.0
1555142446.6374154,5040,92.09375
1555142447.0932078,5090,91.65625
1555142447.5326014,5140,92.125
1555142448.0312698,5190,92.0625
1555142448.4581265,5240,91.0
1555142448.9278703,5290,92.0
1555142449.4116166,5340,91.59375
1555142449.8454156,5390,91.375
1555142450.2942154,5440,91.3125
1555142450.7213721,5490,92.75
1555142451.1658852,5540,91.21875
1555142451.5929105,5590,92.6875
1555142452.3447328,5678,91.71875
1555142452.7945461,5728,91.28125
1555142453.2542999,5778,92.375
1555142453.7024832,5828,92.53125
1555142454.1459157,5878,91.875
1555142454.5821857,5928,92.59375
1555142455.0155892,5978,92.0625
1555142455.4446564,6028,92.96875
1555142455.870326,6078,92.5625
1555142456.3111258,6128,92.1875
1555142456.739979,6178,92.125
1555142457.1648414,6228,92.78125
1555142457.5887084,6278,92.75
1555142458.0087793,6328,92.5
1555142458.4474378,6378,92.15625
1555142458.8827434,6428,92.34375
1555142459.3250835,6478,91.34375
1555142459.7599018,6528,92.90625
1555142461.3257153,6616,92.21875
1555142461.7645414,6666,92.875
1555142462.6442344,6766,92.375
1555142463.0800252,6816,92.59375
1555142463.510872,6866,92.625
1555142464.376071,6966,92.53125
1555142464.808402,7016,92.8125
1555142465.2448761,7066,92.4375
1555142465.6710958,7116,93.3125
1555142466.0969565,7166,92.8125
1555142466.527804,7216,92.90625
1555142466.9586523,7266,92.21875
1555142467.3934884,7316,93.625
1555142467.8163576,7366,92.90625
1555142468.268225,7416,93.875
1555142468.7022598,7466,93.53125
1555142469.4602745,7554,92.90625
1555142469.8967946,7604,93.4375
1555142470.3227286,7654,93.65625
1555142470.7516499,7704,93.0625
