Wall time,Step,Value
1555139755.2977436,1,11.350000381469727
1555139771.1085072,2,16.420000076293945
1555139787.0084076,3,26.299999237060547
1555139808.8798273,4,48.0099983215332
1555139831.609042,5,61.599998474121094
1555139854.1210272,6,69.41999816894531
1555139877.4137383,7,74.63999938964844
1555139901.1528113,8,78.66000366210938
1555139925.2173433,9,81.76000213623047
1555139949.3986764,10,83.80000305175781
1555139973.7970164,11,85.16000366210938
1555139998.4465098,12,86.43000030517578
1555140299.111027,13,87.16999816894531
1555140676.0659988,14,88.05999755859375
1555141249.8705268,15,88.4800033569336
1555141281.746257,16,88.95999908447266
1555141315.9301574,17,89.45999908447266
1555141336.1512842,18,89.80000305175781
1555141359.9281406,19,90.13999938964844
1555141384.2255468,20,90.37999725341797
1555141401.6876824,21,90.69000244140625
1555141421.4805899,22,90.81999969482422
1555141445.069509,23,91.05999755859375
1555141469.5469997,24,91.3499984741211
1555141492.8050246,25,91.5199966430664
1555141517.2158098,26,91.6500015258789
1555141540.9173524,27,91.87000274658203
1555141564.330918,28,91.94999694824219
1555141588.8837779,29,92.16000366210938
1555141612.1292472,30,92.33000183105469
