Wall time,Step,Value
1555142409.870545,1,55.936038970947266
1555142425.439949,2,19.61598014831543
1555142443.417605,3,15.016216278076172
1555142460.8888848,4,12.539653778076172
1555142478.0858946,5,10.554861068725586
1555142495.1841712,6,9.17115592956543
1555142513.1712854,7,8.215847969055176
1555142530.3803093,8,7.597514629364014
1555142547.7306857,9,6.798874855041504
1555142565.3545544,10,6.355769157409668
1555142583.0065107,11,6.013785362243652
1555142600.279279,12,5.588012218475342
1555142617.3756392,13,5.2881903648376465
1555142635.495184,14,4.986355304718018
1555142652.9923944,15,4.831252574920654
1555142670.3380086,16,4.7390971183776855
1555142687.4891543,17,4.613189697265625
1555142705.250685,18,4.4343719482421875
1555142722.722683,19,4.384162902832031
1555142739.8184228,20,4.239459991455078
1555142759.8127334,21,4.352011680603027
1555142777.6231556,22,4.034665584564209
1555142794.9727104,23,3.989745616912842
1555142812.041156,24,4.009566783905029
1555142829.4943905,25,3.996814727783203
1555142846.8060951,26,3.953016996383667
1555142864.0439982,27,3.918865203857422
1555142881.1255693,28,3.8777413368225098
1555142898.7830982,29,3.8400585651397705
1555142916.2035115,30,3.7814555168151855
