Wall time,Step,Value
1556002090.773248,1,115.24424743652344
1556002185.2891855,2,115.33828735351562
1556002281.966599,3,115.18499755859375
1556002385.903253,4,115.39051818847656
1556002493.3500626,5,115.18404388427734
1556002588.8347147,6,115.07330322265625
1556002660.4422789,7,115.18933868408203
1556002723.3113017,8,115.24942779541016
1556002788.0279434,9,115.12059020996094
1556002868.9709125,10,115.14327239990234
1556002944.6105893,11,115.13273620605469
1556003034.5100844,12,115.07420349121094
1556003111.7778652,13,115.09089660644531
1556003189.917017,14,115.07733154296875
1556003264.3692722,15,115.07305908203125
