Wall time,Step,Value
1555935845.078235,50,13.84375
1555935845.4133396,100,39.96875
1555935846.1117892,200,68.59375
1555935846.470511,250,70.71875
1555935846.8145907,300,70.3125
1555935847.1658425,350,69.0
1555935847.5087335,400,72.09375
1555935847.848822,450,72.5
1555935848.1909533,500,73.71875
1555935848.5261862,550,74.375
1555935848.8614078,600,76.15625
1555935849.1992245,650,76.4375
1555935849.5452957,700,79.8125
1555935849.8983524,750,79.46875
1555935850.3002715,800,80.71875
1555935850.6523592,850,81.03125
1555935851.0003915,900,81.4375
1555935852.7053058,988,82.90625
1555935853.0517287,1038,83.5
1555935853.3931165,1088,84.75
1555935853.7397742,1138,83.90625
1555935854.0794075,1188,84.71875
1555935854.4251394,1238,84.53125
1555935854.7615805,1288,85.90625
1555935855.1092982,1338,86.71875
1555935855.455998,1388,85.90625
1555935855.8047218,1438,87.28125
1555935856.5046284,1538,87.65625
1555935856.8558953,1588,87.71875
1555935857.2181814,1638,87.875
1555935857.5587666,1688,87.71875
1555935857.8987525,1738,87.875
1555935858.2523909,1788,88.5
1555935858.5934718,1838,88.59375
1555935859.1871698,1926,88.125
1555935859.5336175,1976,87.25
1555935859.861105,2026,87.84375
1555935860.2141223,2076,88.5
1555935860.5537949,2126,89.28125
1555935861.2589276,2226,89.875
1555935861.6166172,2276,90.125
1555935861.961201,2326,88.625
1555935862.328241,2376,89.875
1555935862.682442,2426,88.28125
1555935863.0279334,2476,90.40625
1555935863.3584638,2526,89.09375
1555935863.7544045,2576,89.40625
1555935864.0855758,2626,89.53125
1555935864.4226158,2676,89.0625
1555935864.7567425,2726,90.21875
1555935865.088956,2776,90.21875
1555935866.54337,2864,90.21875
1555935866.8902984,2914,89.9375
1555935867.2361157,2964,90.5
1555935867.571551,3014,90.0625
1555935867.9385948,3064,90.03125
1555935868.2623436,3114,90.625
1555935868.5921087,3164,90.3125
1555935868.9428928,3214,89.75
1555935869.287634,3264,90.34375
1555935869.626747,3314,90.25
1555935869.9539926,3364,89.46875
1555935870.3001208,3414,90.125
1555935870.6542447,3464,90.84375
1555935870.9963384,3514,90.84375
1555935871.3381133,3564,91.4375
1555935871.6772065,3614,90.09375
1555935872.3828995,3714,90.5
1555935872.9843023,3802,90.5625
1555935873.3323708,3852,90.78125
1555935873.6848948,3902,90.84375
1555935874.0235815,3952,91.28125
1555935874.3506463,4002,91.03125
1555935874.6797662,4052,90.90625
1555935875.0178616,4102,90.8125
1555935875.3619952,4152,91.5
1555935875.710029,4202,90.78125
1555935876.0822136,4252,91.1875
1555935876.4191115,4302,90.6875
1555935876.759202,4352,91.28125
1555935877.0885599,4402,91.0625
1555935877.4544256,4452,91.6875
1555935877.7974243,4502,91.0625
1555935878.1375296,4552,90.75
1555935878.4795988,4602,90.34375
1555935878.8166988,4652,90.5625
1555935880.2787855,4740,90.78125
1555935880.6119087,4790,90.71875
1555935880.9549773,4840,92.125
1555935881.2822962,4890,91.96875
1555935881.6152256,4940,92.3125
1555935881.9612842,4990,91.125
1555935882.3053777,5040,91.8125
1555935882.6584692,5090,92.21875
1555935882.9986293,5140,91.71875
1555935883.3527083,5190,91.59375
1555935883.688663,5240,91.5
1555935884.0308256,5290,92.03125
1555935884.3739233,5340,90.75
1555935884.715915,5390,91.3125
1555935885.0575318,5440,92.1875
1555935885.3812387,5490,91.125
1555935885.7252147,5540,92.09375
1555935886.0693192,5590,91.4375
1555935886.6517358,5678,91.4375
1555935887.0017989,5728,91.90625
1555935887.3418894,5778,92.375
1555935887.6769924,5828,91.71875
1555935888.0185766,5878,92.90625
1555935888.3502684,5928,92.3125
1555935888.6926942,5978,91.40625
1555935889.0415378,6028,92.03125
1555935889.3764565,6078,91.875
1555935889.7215223,6128,91.6875
1555935890.0697057,6178,91.625
1555935890.4156656,6228,92.28125
1555935890.7467787,6278,91.8125
1555935891.086295,6328,92.0625
1555935891.424966,6378,92.46875
1555935891.7494535,6428,91.1875
1555935892.107214,6478,92.03125
1555935892.4457207,6528,91.625
1555935893.91368,6616,92.0
1555935894.4362824,6666,92.53125
1555935895.7108736,6766,92.15625
1555935896.8793902,6816,92.1875
1555935898.0333025,6866,91.78125
1555935899.2748897,6966,91.75
1555935899.742729,7016,92.8125
1555935900.1954267,7066,92.375
1555935900.5799506,7116,92.625
1555935901.1109796,7166,93.0625
1555935901.4791913,7216,91.75
1555935901.9128325,7266,93.125
1555935902.3137603,7316,92.21875
1555935902.739621,7366,91.96875
1555935903.1515183,7416,92.5
1555935903.5713942,7466,92.125
1555935904.3253777,7554,92.6875
1555935904.8200552,7604,92.9375
1555935905.3197734,7654,92.375
1555935906.0228357,7704,92.0
1555935906.6042817,7754,92.5625
1555935907.166775,7804,92.1875
1555935907.74822,7854,92.09375
1555935908.304731,7904,92.90625
1555935909.4376993,8004,92.1875
1555935909.992217,8054,92.46875
1555935910.5477302,8104,92.4375
1555935911.1062357,8154,92.75
1555935911.6717236,8204,92.59375
1555935912.3618782,8254,93.0625
1555935913.0560193,8304,93.375
1555935913.584605,8354,92.28125
1555935914.1694765,8404,92.3125
1555935916.7665296,8492,92.25
1555935917.3310192,8542,92.3125
1555935917.8985002,8592,93.0625
1555935918.4320734,8642,93.1875
1555935919.0524142,8692,92.375
1555935919.5940468,8742,92.40625
1555935920.1654356,8792,93.03125
1555935920.729925,8842,93.40625
1555935921.8708727,8942,92.53125
1555935922.4892209,8992,93.40625
1555935923.089612,9042,92.875
1555935923.6471202,9092,92.46875
1555935924.2136047,9142,93.40625
1555935924.779092,9192,92.625
1555935925.324633,9242,93.03125
1555935925.8422472,9292,93.25
1555935926.3828008,9342,93.0625
1555935927.383125,9430,92.9375
1555935927.9506056,9480,93.0
1555935928.503129,9530,92.4375
1555935929.049669,9580,92.8125
1555935929.6261232,9630,93.1875
1555935930.1736584,9680,94.0625
1555935930.711221,9730,93.53125
1555935931.2647405,9780,92.46875
1555935931.8033001,9830,93.4375
1555935932.364797,9880,93.6875
1555935932.9532235,9930,93.3125
1555935933.530678,9980,94.03125
1555935934.696559,10080,92.96875
1555935935.2401042,10130,93.25
1555935939.401969,10368,92.625
1555935939.9754343,10418,93.5
1555935940.5399253,10468,93.78125
1555935941.1183767,10518,94.34375
1555935941.6858585,10568,93.78125
1555935942.238381,10618,92.96875
1555935943.4431574,10718,92.9375
1555935944.1781917,10768,94.0625
1555935944.7307127,10818,93.84375
1555935945.4607651,10868,93.40625
1555935946.05118,10918,93.28125
1555935947.1992586,11018,93.78125
1555935948.1098237,11068,94.09375
1555935949.1151612,11118,93.5625
1555935949.710788,11168,92.90625
1555935950.3009603,11218,93.65625
1555935951.3042786,11306,94.09375
1555935952.0573254,11356,93.65625
1555935952.655948,11406,94.0625
1555935953.2576606,11456,92.6875
1555935953.8781548,11506,93.78125
1555935954.4195857,11556,94.15625
1555935954.9914656,11606,93.78125
1555935955.5454638,11656,93.59375
1555935956.666496,11756,93.4375
1555935957.237209,11806,93.125
1555935957.8238242,11856,94.625
1555935958.3925302,11906,94.125
1555935958.9038582,11956,94.0625
1555935959.4725218,12006,94.0
1555935960.1020238,12056,93.46875
1555935960.6456149,12106,93.75
1555935961.4197996,12156,94.21875
1555935964.465065,12244,93.78125
1555935965.062465,12294,93.96875
1555935966.3181074,12394,94.28125
1555935966.9683676,12444,93.90625
1555935967.6176293,12494,94.25
1555935968.2030632,12544,94.15625
1555935968.7595744,12594,94.09375
1555935969.3609645,12644,94.15625
1555935969.9314392,12694,94.03125
1555935970.530838,12744,94.25
1555935971.1106308,12794,94.15625
1555935971.6950672,12844,94.4375
1555935972.5128803,12894,94.0
1555935973.6328828,12944,93.65625
1555935974.5584064,12994,93.875
1555935975.4283834,13044,94.34375
1555935976.1222246,13094,94.1875
1555935977.834641,13182,94.5
1555935978.3911533,13232,94.90625
1555935978.9686074,13282,93.71875
1555935979.6178699,13332,94.28125
1555935980.1943278,13382,94.09375
1555935980.7609363,13432,94.6875
1555935981.349238,13482,94.03125
1555935981.919713,13532,94.25
1555935982.5241506,13582,94.15625
1555935983.133465,13632,94.8125
1555935983.7288728,13682,95.25
1555935984.324278,13732,94.0
1555935984.89078,13782,93.90625
1555935985.508112,13832,93.25
1555935986.7836983,13932,94.03125
1555935987.334226,13982,94.6875
1555935987.92664,14032,95.03125
1555935991.0403109,14170,94.125
1555935991.59259,14220,94.25
1555935992.1563246,14270,94.15625
1555935992.740761,14320,94.5625
1555935993.309253,14370,94.75
1555935993.916616,14420,94.5625
1555935994.5130181,14470,94.4375
1555935995.1642776,14520,94.78125
1555935995.7616792,14570,95.0
1555935996.4089694,14620,95.09375
1555935997.0123324,14670,94.46875
1555935997.640652,14720,95.28125
1555935998.2260857,14770,94.375
1555935998.813514,14820,94.5625
1555935999.4149044,14870,93.96875
1555935999.9983437,14920,94.5625
1555936000.660282,14970,94.84375
1555936002.3410769,15108,94.15625
1555936003.5229135,15208,94.71875
1555936004.2241218,15258,94.71875
1555936004.8583412,15308,94.625
1555936005.5305426,15358,95.34375
1555936006.0940359,15408,94.53125
1555936006.6425674,15458,94.40625
1555936007.2658994,15508,95.6875
1555936007.840433,15558,94.59375
1555936008.4019,15608,94.4375
1555936008.9743285,15658,94.4375
1555936009.5547757,15708,94.5
1555936010.1122844,15758,95.375
1555936010.7126782,15808,94.875
1555936011.286145,15858,94.53125
1555936014.9832551,16046,95.71875
1555936015.5587146,16096,94.25
1555936016.1457376,16146,94.1875
1555936016.700658,16196,94.75
1555936017.2884285,16246,95.625
1555936018.4639618,16346,95.1875
1555936019.0483768,16396,94.9375
1555936019.6507857,16446,95.1875
1555936020.2422538,16496,95.40625
1555936020.828614,16546,94.90625
1555936021.414047,16596,95.3125
1555936021.9984832,16646,94.96875
1555936022.5709531,16696,94.75
1555936023.1564164,16746,94.71875
1555936023.7517936,16796,94.84375
1555936024.364154,16846,95.15625
1555936025.4143448,16934,94.78125
1555936025.9838223,16984,95.96875
1555936026.5792284,17034,95.09375
1555936027.2314825,17084,95.34375
1555936027.9206398,17134,95.3125
1555936028.6038125,17184,95.4375
1555936029.268035,17234,94.59375
1555936029.9551964,17284,95.53125
1555936030.6513343,17334,94.40625
1555936031.3804812,17384,95.625
1555936031.9987288,17434,95.40625
1555936032.5831654,17484,95.125
1555936033.1685984,17534,95.5
1555936033.7261074,17584,94.09375
1555936034.309645,17634,95.28125
1555936034.9378655,17684,95.34375
1555936035.5043492,17734,95.21875
1555936036.084797,17784,94.6875
1555936038.5880988,17872,95.21875
1555936039.1675513,17922,95.09375
1555936039.7858953,17972,95.0625
1555936040.405619,18022,95.90625
1555936040.9617538,18072,95.3125
1555936041.5501747,18122,95.6875
1555936042.1206472,18172,95.09375
1555936042.7080762,18222,95.46875
1555936043.3014894,18272,95.21875
