Wall time,Step,Value
1556022000.9188588,50,25.6875
1556022002.353096,100,58.71875
1556022003.6981084,150,81.46875
1556022005.042552,200,86.59375
1556022007.3612401,250,90.4375
1556022009.0413818,300,91.0
1556022010.4374187,350,91.84375
1556022012.1254637,400,93.84375
1556022013.9162593,450,93.875
1556022015.3128595,500,94.5
1556022017.7380862,550,94.78125
1556022019.867795,600,95.28125
1556022021.8985946,650,95.8125
1556022024.129223,700,95.90625
1556022026.406728,750,96.03125
1556022028.6451857,800,96.40625
1556022030.8271194,850,96.0625
1556022032.187709,900,96.71875
1556022037.1515565,988,96.875
1556022038.4856956,1038,96.96875
1556022039.9111025,1088,97.375
1556022041.4047277,1138,97.5
1556022042.8056083,1188,97.59375
1556022044.4529874,1238,97.6875
1556022047.0121737,1288,97.15625
1556022049.387911,1338,97.4375
1556022051.5411243,1388,98.15625
1556022053.082862,1438,97.4375
1556022054.4234114,1488,97.3125
1556022055.7569509,1538,97.84375
1556022057.213412,1588,98.21875
1556022058.6437998,1638,97.71875
1556022060.326544,1688,97.90625
1556022061.8487957,1738,97.8125
1556022063.1506114,1788,98.09375
1556022064.5351138,1838,97.4375
1556022067.025534,1926,97.59375
1556022068.4091327,1976,98.25
1556022069.7399766,2026,97.9375
1556022071.0385783,2076,98.09375
1556022072.3481932,2126,98.28125
1556022073.6494646,2176,98.0625
1556022075.0214736,2226,98.5625
1556022076.4109118,2276,98.5
1556022077.7757523,2326,98.53125
1556022079.1452973,2376,98.75
1556022080.563173,2426,98.3125
1556022081.939317,2476,98.21875
1556022083.2625542,2526,98.28125
1556022084.5842857,2576,97.8125
1556022086.0438046,2626,98.34375
1556022087.4606888,2676,98.78125
1556022088.891471,2726,97.75
1556022090.4871767,2776,98.34375
1556022097.8206306,2864,98.1875
1556022100.065919,2914,98.90625
1556022102.1545393,2964,98.8125
1556022104.1801817,3014,98.40625
1556022106.4782765,3064,98.84375
1556022108.522748,3114,98.75
1556022110.593803,3164,98.6875
1556022112.7966747,3214,98.96875
1556022115.139779,3264,98.96875
1556022117.420025,3314,98.78125
1556022119.66145,3364,98.625
1556022121.9906821,3414,98.71875
1556022124.3594012,3464,98.34375
1556022126.7099679,3514,98.84375
1556022128.9728994,3564,98.625
1556022131.5281098,3614,98.53125
1556022133.6217697,3664,98.46875
1556022136.0449574,3714,98.78125
1556022140.2586453,3802,99.09375
1556022142.7009692,3852,98.75
1556022145.165834,3902,99.40625
1556022147.5720708,3952,99.125
1556022149.8756955,4002,99.03125
1556022152.239165,4052,98.71875
1556022154.5480008,4102,98.59375
