Wall time,Step,Value
1557126399.2146847,1,43.845237731933594
1557126485.0242047,2,12.905097961425781
1557126568.3173428,3,7.792048931121826
1557126655.3693774,4,5.519622802734375
1557126745.7024503,5,4.332547664642334
1557126842.0344276,6,3.6403346061706543
1557126923.6209567,7,3.157525062561035
1557127009.9043283,8,3.011626720428467
1557127095.5668557,9,2.6270439624786377
1557127182.3112986,10,2.5543339252471924
1557127264.4462883,11,2.2956910133361816
1557127346.7047384,12,2.3032257556915283
1557127428.838881,13,2.1055524349212646
1557127504.6670723,14,2.0139410495758057
1557127592.1251662,15,1.9748643636703491
