Wall time,Step,Value
1555143055.0388653,50,12.96875
1555143055.4140985,100,22.21875
1555143056.1477106,200,39.15625
1555143056.4958334,250,42.78125
1555143056.8483977,300,51.375
1555143057.200901,350,55.53125
1555143057.5532749,400,60.25
1555143057.9005306,450,63.21875
1555143058.250295,500,66.59375
1555143058.6110742,550,69.4375
1555143058.9812202,600,70.5
1555143059.671256,650,71.625
1555143060.3844042,700,72.5625
1555143060.8347106,750,73.125
1555143061.550546,800,75.75
1555143062.2662163,850,77.875
1555143062.936597,900,79.78125
1555143064.7557702,988,81.0
1555143065.2055333,1038,81.5
1555143065.55764,1088,82.03125
1555143065.9104712,1138,82.25
1555143066.2684922,1188,84.71875
1555143066.6943533,1238,84.03125
1555143067.0366786,1288,85.125
1555143067.379872,1338,85.28125
1555143067.7162101,1388,85.34375
1555143068.058103,1438,84.9375
1555143068.763841,1538,87.65625
1555143069.1308377,1588,86.375
1555143069.7232533,1638,86.15625
1555143070.3518007,1688,88.34375
1555143070.9409986,1738,87.96875
1555143071.5693443,1788,86.71875
1555143072.1377966,1838,86.90625
1555143073.1940875,1926,88.9375
1555143073.7476413,1976,87.90625
1555143074.3598542,2026,87.53125
1555143074.9542649,2076,88.1875
1555143075.5456836,2126,89.625
1555143076.7177112,2226,89.09375
1555143077.618813,2276,88.875
1555143078.3905683,2326,88.34375
1555143079.1525111,2376,88.53125
1555143082.096639,2426,89.3125
1555143082.7688413,2476,88.90625
1555143083.578676,2526,90.75
1555143084.4184308,2576,89.25
1555143085.179396,2626,88.75
1555143085.798737,2676,88.625
1555143086.4220712,2726,89.53125
1555143087.1251907,2776,88.59375
1555143090.1800218,2864,89.6875
1555143090.854218,2914,89.6875
1555143091.5583384,2964,89.5625
1555143092.1517487,3014,89.65625
1555143092.7481534,3064,90.59375
1555143093.356747,3114,89.96875
1555143093.9399664,3164,91.40625
1555143094.5144303,3214,88.78125
1555143095.1307821,3264,89.90625
1555143095.7521214,3314,89.15625
1555143096.3495243,3364,90.71875
1555143096.9568996,3414,90.0
1555143097.5553,3464,91.4375
1555143098.1536984,3514,90.03125
1555143098.7351441,3564,90.65625
1555143099.3465078,3614,90.03125
1555143100.5093977,3714,89.5625
1555143101.6014783,3802,90.0625
1555143102.2142596,3852,91.0
1555143102.809249,3902,91.28125
1555143103.435574,3952,90.0
1555143104.0409565,4002,91.21875
1555143104.6583064,4052,90.0625
1555143105.2577007,4102,91.03125
1555143105.86807,4152,91.09375
1555143106.4594886,4202,90.25
1555143107.0688577,4252,91.1875
1555143107.7201173,4302,91.28125
1555143108.3666646,4352,90.90625
1555143109.0375936,4402,92.25
1555143109.734728,4452,91.15625
1555143110.4200456,4502,92.0
1555143111.0143058,4552,90.625
1555143111.682606,4602,90.6875
1555143112.3726754,4652,90.875
1555143117.1369326,4740,91.5625
1555143117.8719678,4790,91.0625
1555143118.4633858,4840,92.25
1555143119.0558023,4890,91.71875
1555143119.6507137,4940,91.59375
1555143120.6904306,4990,91.8125
1555143121.3386962,5040,92.0625
1555143121.867283,5090,92.09375
1555143122.3150861,5140,92.0625
1555143123.005241,5190,91.34375
1555143123.5298378,5240,91.53125
1555143123.9457257,5290,91.28125
1555143124.5481138,5340,91.875
1555143125.1096146,5390,90.96875
1555143125.73398,5440,90.78125
1555143126.351292,5490,91.34375
1555143126.971633,5540,91.78125
1555143127.585991,5590,91.5625
1555143128.6641083,5678,91.6875
1555143129.2714834,5728,92.40625
1555143129.87292,5778,92.28125
1555143130.486235,5828,91.375
1555143131.1225345,5878,91.5
1555143131.7408807,5928,92.71875
1555143132.3422725,5978,91.78125
1555143132.9467373,6028,92.65625
1555143133.5719826,6078,91.90625
1555143134.1888504,6128,92.90625
1555143134.7937162,6178,92.0
1555143135.416051,6228,92.15625
1555143136.0044785,6278,91.78125
1555143136.6108563,6328,92.15625
1555143137.2252128,6378,91.90625
1555143137.8505414,6428,92.71875
1555143138.4619064,6478,91.65625
1555143139.0523274,6528,92.28125
1555143141.6294363,6616,92.125
1555143142.2417972,6666,92.5625
1555143143.4495685,6766,93.1875
1555143144.05495,6816,91.90625
1555143144.6643188,6866,91.5
1555143145.8910387,6966,91.3125
1555143146.4924316,7016,92.90625
1555143147.0986028,7066,92.5
1555143147.7071812,7116,92.15625
1555143148.3225408,7166,92.4375
1555143148.923929,7216,91.6875
