Wall time,Step,Value
1555638838.027614,50,9.875
1555638838.5624857,100,11.03125
1555638839.0458198,150,10.5
1555638839.551548,200,10.375
1555638840.1007497,250,11.21875
1555638840.6058958,300,10.78125
1555638841.0016642,350,10.125
1555638841.3894694,400,11.34375
1555638841.7849603,450,11.4375
1555638842.1722405,500,12.0625
1555638842.5860336,550,11.6875
1555638843.0679836,600,12.125
1555638843.4763007,650,11.84375
1555638843.8799527,700,12.28125
1555638844.271138,750,11.1875
1555638844.6718588,800,11.9375
1555638845.050325,850,11.5625
1555638845.4358256,900,11.9375
1555638847.3127906,988,11.59375
1555638847.71756,1038,12.375
1555638848.1102962,1088,11.875
1555638848.4912064,1138,11.90625
1555638848.8799574,1188,13.0
1555638849.2639441,1238,11.375
1555638849.650849,1288,15.875
1555638850.0479739,1338,14.40625
1555638850.4813848,1388,12.1875
1555638850.9417233,1438,11.5
1555638851.412915,1488,16.625
1555638851.9331744,1538,13.9375
1555638852.4448023,1588,11.28125
1555638852.924234,1638,13.5
1555638853.4138758,1688,19.0625
1555638853.9698603,1738,21.96875
1555638854.3898363,1788,19.5625
1555638854.795772,1838,20.34375
1555638855.4917972,1926,14.9375
1555638855.9456391,1976,25.8125
1555638856.355934,2026,29.1875
1555638856.7651536,2076,33.09375
1555638857.150152,2126,53.59375
1555638857.6667776,2176,70.03125
1555638858.1685677,2226,76.9375
1555638858.5659351,2276,79.875
1555638858.9512978,2326,82.28125
1555638859.3317642,2376,84.53125
1555638859.7397406,2426,85.625
1555638860.1873236,2476,86.34375
1555638860.7111123,2526,88.03125
1555638861.4373946,2576,87.0
1555638861.9145327,2626,88.8125
1555638862.45865,2676,88.71875
1555638862.932716,2726,89.5
1555638863.3519955,2776,89.28125
1555638865.1161606,2864,90.21875
1555638865.6110108,2914,89.96875
1555638866.126915,2964,90.59375
1555638866.6983962,3014,90.09375
1555638867.1768444,3064,91.125
1555638867.6632044,3114,90.75
1555638868.2251928,3164,91.03125
1555638868.7198088,3214,91.1875
1555638869.2544324,3264,90.90625
1555638869.7168689,3314,91.9375
1555638870.2129571,3364,91.3125
1555638870.6819932,3414,91.9375
1555638871.1229696,3464,91.625
1555638871.5949726,3514,92.40625
1555638872.0931122,3564,92.84375
1555638872.5471425,3614,91.625
1555638873.09891,3664,91.8125
1555638873.5703464,3714,92.78125
1555638874.314831,3802,93.21875
1555638874.86389,3852,93.0
1555638875.2835956,3902,92.5625
1555638875.8547204,3952,92.5
1555638876.4433143,4002,92.90625
1555638877.0366826,4052,93.375
1555638877.5688355,4102,93.59375
1555638878.0412743,4152,94.0625
1555638878.4739895,4202,94.0
1555638878.910631,4252,93.3125
1555638879.287806,4302,93.15625
1555638879.6708817,4352,92.8125
1555638880.0559082,4402,93.3125
1555638880.4495053,4452,93.4375
1555638880.859953,4502,94.0625
1555638881.2323503,4552,93.3125
1555638881.6201382,4602,94.34375
1555638881.998549,4652,93.53125
1555638883.6289008,4740,93.8125
1555638884.023603,4790,93.8125
1555638884.4191859,4840,94.5
1555638884.8092341,4890,94.5
1555638885.1892097,4940,94.375
1555638885.5845659,4990,94.21875
1555638885.9922204,5040,94.15625
1555638886.3768342,5090,95.0
