Wall time,Step,Value
1555638846.8357167,1,10.279999732971191
1555638864.7219496,2,90.58000183105469
1555638883.235715,3,94.16000366210938
1555638901.9472554,4,95.43000030517578
1555638919.5088902,5,96.06999969482422
1555638937.9115522,6,96.55999755859375
1555638953.131886,7,96.86000061035156
1555638968.6171248,8,97.12999725341797
1555638983.9900408,9,97.27999877929688
1555638999.3099337,10,97.29000091552734
1555639014.589865,11,97.5999984741211
1555639030.3130538,12,97.5999984741211
1555639045.4806225,13,97.5999984741211
1555639060.6430156,14,97.76000213623047
1555639076.9120374,15,97.68000030517578
