Wall time,Step,Value
1555662004.7669315,1,93.2699966430664
1555662019.5162752,2,96.5
1555662034.8132536,3,96.47000122070312
1555662058.6271532,4,97.5
1555662084.7972455,5,97.3499984741211
1555662110.5215225,6,97.73999786376953
1555662134.969528,7,97.62000274658203
1555662159.658032,8,97.86000061035156
1555662185.5082567,9,97.80999755859375
1555662207.847129,10,97.91999816894531
1555662232.3960145,11,97.8499984741211
1555662258.7028174,12,97.87000274658203
1555662282.8291059,13,97.91999816894531
1555662312.0612853,14,97.87999725341797
1555662335.1385794,15,97.93000030517578
