Wall time,Step,Value
1555676674.1634285,1,14.0
1555676675.616933,51,9.0
1555676677.0440047,101,10.0
1555676678.4140263,151,10.0
1555676679.7684047,201,10.0
1555676681.2240539,251,10.0
1555676682.670662,301,10.0
1555676684.2053707,351,11.0
1555676685.6204212,401,13.0
1555676687.0161135,451,21.0
1555676688.5260963,501,25.0
1555676690.1527255,551,31.0
1555676691.8515694,601,35.0
1555676693.431955,651,41.0
1555676695.157561,701,44.0
1555676696.897978,751,52.0
1555676698.7003694,801,54.0
1555676700.4424627,851,59.0
1555676702.1837723,901,61.0
1555676706.7297385,939,60.0
1555676708.6535888,989,65.0
1555676710.3899798,1039,73.0
1555676712.6766772,1089,75.0
1555676714.9095037,1139,79.0
1555676717.1597092,1189,82.0
1555676719.7940106,1239,83.0
1555676722.0427601,1289,84.0
1555676724.4442437,1339,85.0
1555676726.9854472,1389,85.0
1555676728.929273,1439,86.0
1555676731.26999,1489,88.0
1555676732.7600048,1539,88.0
1555676735.408922,1589,88.0
1555676737.9581044,1639,88.0
1555676740.33981,1689,88.0
1555676742.7314155,1739,90.0
1555676744.5564585,1789,89.0
1555676746.2828426,1839,91.0
1555676747.604566,1877,92.0
1555676749.6131957,1927,90.0
1555676751.3296046,1977,90.0
1555676753.0480087,2027,91.0
1555676754.7953548,2077,92.0
1555676758.4595397,2127,92.0
1555676764.9228084,2177,92.0
1555676768.9719794,2227,93.0
1555676772.155466,2277,92.0
1555676774.4682813,2327,92.0
1555676776.7422035,2377,92.0
1555676779.2754295,2427,93.0
1555676782.084912,2477,93.0
1555676784.1844382,2527,93.0
1555676786.245785,2577,92.0
1555676788.246435,2627,94.0
1555676790.3946896,2677,93.0
1555676792.4213066,2727,93.0
1555676794.328546,2777,93.0
1555676799.405594,2815,93.0
1555676801.6980073,2865,94.0
1555676803.9843483,2915,93.0
1555676805.9381673,2965,95.0
1555676807.9387763,3015,94.0
1555676810.0414639,3065,94.0
1555676812.490304,3115,94.0
1555676814.4967878,3165,94.0
1555676816.4325666,3215,95.0
1555676818.4139683,3265,94.0
1555676820.4824817,3315,94.0
1555676822.5444727,3365,94.0
1555676824.486628,3415,94.0
1555676826.4520254,3465,94.0
1555676828.7320757,3515,94.0
1555676831.208454,3565,94.0
1555676832.717451,3615,95.0
1555676834.3061697,3665,95.0
1555676835.8750353,3715,94.0
1555676837.0318806,3753,98.0
1555676838.8789418,3803,95.0
1555676840.756331,3853,95.0
1555676842.4269674,3903,94.0
1555676844.0267258,3953,95.0
1555676845.5704918,4003,95.0
1555676847.0823045,4053,95.0
1555676848.6698377,4103,95.0
1555676850.6378248,4153,95.0
1555676852.7938535,4203,95.0
1555676854.9610667,4253,95.0
1555676856.4093292,4303,95.0
1555676857.8243856,4353,96.0
1555676859.2325895,4403,95.0
1555676860.6787584,4453,96.0
1555676862.3432698,4503,95.0
1555676863.912115,4553,96.0
1555676865.5509741,4603,96.0
1555676866.997843,4653,95.0
1555676870.3289893,4691,96.0
1555676871.731216,4741,96.0
1555676873.115085,4791,95.0
1555676874.5133374,4841,96.0
1555676875.8980732,4891,96.0
1555676877.3309345,4941,96.0
1555676878.9166799,4991,96.0
1555676880.3488498,5041,96.0
1555676881.7790785,5091,96.0
1555676883.2610948,5141,96.0
1555676884.7671638,5191,96.0
1555676886.2211573,5241,96.0
1555676887.6757672,5291,97.0
1555676889.759197,5341,96.0
1555676892.213632,5391,95.0
1555676894.8426018,5441,96.0
1555676897.4905214,5491,96.0
1555676900.1164987,5541,96.0
1555676902.863212,5591,96.0
1555676904.7193816,5629,95.0
1555676906.3612773,5679,97.0
1555676907.763354,5729,97.0
1555676909.130492,5779,97.0
1555676910.5039191,5829,96.0
1555676912.0245996,5879,96.0
1555676913.4222202,5929,97.0
1555676914.7829828,5979,97.0
1555676916.139592,6029,96.0
1555676917.4885666,6079,96.0
1555676918.8664024,6129,96.0
1555676920.235492,6179,96.0
1555676921.614599,6229,97.0
1555676923.0462914,6279,96.0
1555676924.406379,6329,96.0
1555676925.8486545,6379,96.0
1555676927.5481105,6429,97.0
1555676929.4449465,6479,96.0
1555676931.342873,6529,97.0
1555676935.7247043,6567,96.0
1555676938.042954,6617,96.0
1555676940.363748,6667,96.0
1555676942.629688,6717,97.0
1555676944.7260818,6767,97.0
1555676947.0488694,6817,96.0
1555676949.338814,6867,97.0
1555676951.8103974,6917,97.0
1555676954.3039987,6967,97.0
1555676956.679117,7017,97.0
1555676958.98763,7067,96.0
1555676961.6278129,7117,97.0
1555676963.6491625,7167,97.0
1555676965.8602514,7217,97.0
1555676968.076351,7267,97.0
1555676970.5138059,7317,97.0
1555676972.6586392,7367,97.0
1555676975.2407331,7417,98.0
1555676977.4647868,7467,97.0
1555676979.0296,7505,93.0
1555676981.3065143,7555,97.0
1555676983.608357,7605,97.0
1555676985.8822765,7655,97.0
1555676988.144457,7705,97.0
1555676990.4620287,7755,97.0
1555676992.7479174,7805,97.0
1555676995.031808,7855,97.0
1555676997.5700216,7905,97.0
1555676999.985561,7955,97.0
1555677002.348243,8005,97.0
1555677004.695963,8055,98.0
1555677007.035707,8105,97.0
1555677009.3426752,8155,97.0
1555677011.7254293,8205,97.0
1555677014.0534532,8255,97.0
1555677015.913224,8305,97.0
1555677018.2190883,8355,97.0
1555677019.9974062,8405,97.0
1555677024.2884583,8443,96.0
1555677026.3439603,8493,97.0
1555677028.476592,8543,97.0
1555677031.2927263,8593,97.0
1555677033.6115248,8643,97.0
1555677035.8732402,8693,97.0
1555677038.0984838,8743,97.0
1555677040.2921674,8793,97.0
1555677043.0633774,8843,98.0
1555677045.3421125,8893,97.0
1555677047.614038,8943,97.0
1555677049.8650155,8993,97.0
1555677052.1120088,9043,97.0
1555677054.335063,9093,97.0
