Wall time,Step,Value
1555673615.0047915,50,9.625
1555673617.4402778,100,9.125
1555673619.7680752,150,11.28125
1555673622.376079,200,11.875
1555673624.9591727,250,10.25
1555673627.220126,300,10.625
1555673629.5234995,350,11.53125
1555673631.626021,400,10.875
1555673633.7283032,450,10.8125
1555673635.8699875,500,12.03125
1555673638.1983483,550,11.78125
1555673640.5278757,600,11.9375
1555673642.6607308,650,10.34375
1555673644.796022,700,10.53125
1555673646.9176593,750,11.53125
1555673649.1237392,800,9.3125
1555673651.3660123,850,12.0
1555673653.6024368,900,11.65625
1555673660.895327,988,10.78125
1555673663.262106,1038,10.9375
1555673665.4317575,1088,10.59375
1555673667.5966547,1138,11.3125
1555673669.7459092,1188,11.125
1555673671.9999588,1238,11.15625
1555673674.2967393,1288,11.65625
1555673676.5407383,1338,11.1875
1555673678.6710615,1388,12.03125
1555673680.7973585,1438,11.4375
1555673682.8947465,1488,12.03125
1555673684.9972382,1538,10.59375
1555673687.0925195,1588,11.125
1555673689.2038746,1638,10.125
1555673691.3082466,1688,11.53125
1555673693.4565027,1738,11.46875
1555673695.58694,1788,11.21875
1555673697.7272182,1838,11.15625
1555673701.574966,1926,11.21875
1555673703.8947616,1976,10.8125
1555673706.203791,2026,11.9375
1555673708.3149412,2076,11.34375
1555673710.4233024,2126,11.625
1555673712.5366518,2176,11.90625
1555673714.6440146,2226,10.8125
1555673716.8940141,2276,10.9375
1555673719.104288,2326,11.4375
1555673721.2657216,2376,11.46875
1555673723.3786573,2426,11.375
1555673725.4686651,2476,12.03125
1555673727.5710444,2526,11.09375
1555673729.6597853,2576,11.59375
1555673731.87169,2626,12.125
1555673734.0658238,2676,11.96875
1555673736.180169,2726,12.625
1555673738.3045242,2776,13.6875
1555673744.8769114,2864,12.25
1555673746.793786,2914,35.4375
1555673748.6129208,2964,63.8125
1555673750.4352088,3014,72.0
1555673752.2295856,3064,77.21875
1555673754.021457,3114,81.0
1555673755.8055975,3164,85.1875
1555673757.7375515,3214,87.0
1555673759.531253,3264,88.625
1555673761.6230865,3314,88.53125
1555673763.5202303,3364,90.9375
1555673765.4522007,3414,90.03125
1555673767.7199132,3464,91.375
1555673769.839213,3514,91.375
1555673771.9246757,3564,91.65625
1555673774.2962925,3614,93.3125
1555673776.674932,3664,93.21875
1555673779.544782,3714,93.28125
1555673784.6009011,3802,94.34375
1555673787.6966236,3852,93.5
1555673790.2448087,3902,94.3125
1555673792.0310328,3952,94.4375
1555673793.8572843,4002,95.03125
1555673795.6406584,4052,94.78125
1555673797.4535315,4102,95.0
1555673799.2467377,4152,95.5625
1555673803.246547,4202,94.625
1555673806.0201678,4252,95.46875
1555673809.4633465,4302,95.8125
1555673812.823179,4352,95.5625
