Wall time,Step,Value
1555673658.7075365,1,10.100000381469727
1555673742.7685497,2,11.350000381469727
1555675096.6119063,3,96.77999877929688
1555675191.3431659,4,98.16999816894531
1555675308.7726614,5,98.3499984741211
1555675446.1446924,6,98.5199966430664
1555675568.5035386,7,98.5999984741211
1555675669.7669728,8,98.56999969482422
1555675778.5420024,9,98.73999786376953
1555675876.0193012,10,98.62000274658203
1555675971.4205472,11,98.94999694824219
1555676087.957783,12,98.97000122070312
1555676179.2906954,13,98.95999908447266
1555676296.2664695,14,98.98999786376953
1555676414.5260553,15,98.94000244140625
1555676512.4285226,16,98.87000274658203
